Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Account__c,OrderApi__Action_Information__c,OrderApi__Balance__c,OrderApi__Batch__c,OrderApi__Billing_City__c,OrderApi__Billing_Contact__c,OrderApi__Billing_Country__c,OrderApi__Billing_Postal_Code__c,OrderApi__Billing_State__c,OrderApi__Billing_Street__c,OrderApi__Business_Group__c,OrderApi__Calculate_Billing_Details__c,OrderApi__Calculate_Memo__c,OrderApi__Calculate_Shipping_Details__c,OrderApi__Contact__c,OrderApi__Customer_Link__c,OrderApi__Date__c,OrderApi__Deposit_Account__c,OrderApi__EPayment__c,OrderApi__Entity__c,OrderApi__Gateway_Transaction_Id__c,OrderApi__Is_Payment__c,OrderApi__Is_Posted__c,OrderApi__Is_Refund__c,OrderApi__Memo__c,OrderApi__Payment_Gateway__c,OrderApi__Payment_Method_Description__c,OrderApi__Payment_Method__c,OrderApi__Payment_Type__c,OrderApi__Posted_Date__c,OrderApi__Process_Refund__c,OrderApi__Receipt__c,OrderApi__Reference_Number__c,OrderApi__Refund__c,OrderApi__Sales_Order__c,OrderApi__Shipping_City__c,OrderApi__Shipping_Contact__c,OrderApi__Shipping_Country__c,OrderApi__Shipping_Postal_Code__c,OrderApi__Shipping_State__c,OrderApi__Shipping_Street__c,OrderApi__Source_Code__c,OrderApi__Total__c,OrderApi__Type__c,OrderApi__Applied_Amount__c,OrderApi__Encrypted_Id__c,LastViewedDate,LastReferencedDate,OrderApi__Account__r.External_Id__c,OrderApi__Batch__r.External_Id__c,OrderApi__Business_Group__r.Name,OrderApi__Contact__r.External_Id__c,OrderApi__Deposit_Account__r.Name,OrderApi__EPayment__r.External_Id__c,OrderApi__Payment_Gateway__r.External_Id__c,OrderApi__Payment_Method__r.External_Id__c,OrderApi__Receipt__r.External_Id__c,OrderApi__Sales_Order__r.External_Id__c,OrderApi__Source_Code__r.Name
a1E4W00000Djw53UAB,false,0000000826,13,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021flzUQAQ,,0,,Bern,Norman Nguyen,Switzerland,,,Schutzenmattstrasse 11,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8VSQA1,Norman Nguyen,2017-06-29,a104W00000FuSwjQAF,,Contact,,true,true,false,Memo for check 2915088 (from code),,N/A,,Check,2017-06-29,false,,1123208,false,,Bern,Norman Nguyen,Switzerland,,,Schutzenmattstrasse 11,,100,Payment,100,MlKMZT6784m+hWb0uxAcrRSeqbStphn1CVWqQJ+i9Dg=,,,80,,FON-International Association,232,1000 - Cash,,,,,,
a1E4W00000Djw54UAB,false,0000000827,14,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021fm17QAA,,0,,Bern,Dustin Curtis,Switzerland,,,Schutzenmattstrasse 11,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8VBQA1,Dustin Curtis,2017-06-29,a104W00000FuSwjQAF,,Contact,,true,true,false,Memo for check 4344516 (from code),,N/A,,Check,2017-06-29,false,,8103906,false,,Bern,Dustin Curtis,Switzerland,,,Schutzenmattstrasse 11,,1,Payment,1,Vrt4vv9X+SkZu/hkpz2xgCpcuB0I8n96OmCVK37hIbc=,,,84,,FON-International Association,135,1000 - Cash,,,,,,
a1E4W00000Djw55UAB,false,0000000828,15,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021fm1DQAQ,"{
  ""actionLabel"" : ""Event"",
  ""actionLinkTarget"" : ""/apex/eventapi__router?event=a1Y6A000000awjnUAA""
}",0,,Stratford,Ola Erickson,United States,6615,Connecticut,40 Macs Harbor Ct,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8W1QAL,FON-UnitedHealth Group,2017-06-29,a104W00000FuSwjQAF,,Account,,true,true,false,Memo for check 7540617 (from code),,N/A,,Check,2017-06-29,false,,3576162,false,,Los Gatos,Ola Erickson,United States,95033,California,24614 Miller Hill Rd,,355,Payment,355,/fnArD3Elv6xDII+Vx+fWJjvE4e+StpI2xronQxNqak=,,,73,,FON-International Association,13,1000 - Cash,,,,,,
a1E4W00000Djw56UAB,false,0000000829,16,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021flzSQAQ,"{
  ""actionLabel"" : ""Event"",
  ""actionLinkTarget"" : ""/apex/eventapi__router?event=a1Y6A000000awjsUAA""
}",0,,Baltimore,Lucinda McKinney,United States,21218,Maryland,1500 Kingsway Road,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8UUQA1,Lucinda McKinney,2017-07-02,a104W00000FuSwjQAF,,Contact,,true,true,false,Memo for check 1593958 (from code),,N/A,,Check,2017-07-02,false,,4430929,false,,Baltimore,Lucinda McKinney,United States,21218,Maryland,1500 Kingsway Road,,0,Payment,0,iYCZ+LKsC/AM8sMgSEWUbM443hbjBctFZirSlKlGPAg=,,,87,,FON-International Association,278,1000 - Cash,,,,,,
a1E4W00000Djw57UAB,false,0000000830,17,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021fm18QAA,,0,,Upper Darby,Matilda Sanchez,United States,19082,Pennsylvania,240 Ashby Rd,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8VNQA1,Matilda Sanchez,2017-07-03,a104W00000FuSwjQAF,,Contact,,true,true,false,Memo for check 8271852 (from code),,N/A,,Check,2017-07-03,false,,8216974,false,,Upper Darby,Matilda Sanchez,United States,19082,Pennsylvania,240 Ashby Rd,,100,Payment,100,fIsa27LIFbExagMXzl357IA01OMGknb99bK59lYHqAM=,,,81,,FON-International Association,184,1000 - Cash,,,,,,
a1E4W00000Djw58UAB,false,0000000831,18,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021flzTQAQ,"{
  ""actionLabel"" : ""Event"",
  ""actionLinkTarget"" : ""/apex/eventapi__router?event=a1Y6A000000awjqUAA""
}",0,,Urbana,Jerome Bates,United States,61801,Illinois,1401 W Green St,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8S8QAL,Jerome Bates,2017-07-07,a104W00000FuSwjQAF,,Contact,,true,true,false,Memo for check 5944561 (from code),,N/A,,Check,2017-07-07,false,,6949948,false,,Urbana,Jerome Bates,United States,61801,Illinois,1401 W Green St,,0,Payment,0,SHEiUvRLpBuOIFFbLC+Q066ffENIIlBHGyvgl/GYwSs=,,,82,,FON-International Association,181,1000 - Cash,,,,,,
a1E4W00000Djw59UAB,false,0000000832,19,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021flzSQAQ,"{
  ""actionLabel"" : ""Event"",
  ""actionLinkTarget"" : ""/apex/eventapi__router?event=a1Y6A000000awjlUAA""
}",0,,Washington,Bob Kelley,United States,20500,District of Columbia,1600 Pennsylvania Avenue Northwest,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8T6QAL,Bob Kelley,2017-07-10,a104W00000FuSwjQAF,,Contact,,true,true,false,Memo for check 10377431 (from code),,N/A,,Check,2017-07-10,false,,8144565,false,,Washington,Bob Kelley,United States,20500,District of Columbia,1600 Pennsylvania Avenue Northwest,,55,Payment,55,qe0hCSqDYhNTXEktgVD6tP6jfixtY3bTgHrMwNwmMcQ=,,,87,,FON-International Association,38,1000 - Cash,,,,,,
a1E4W00000Djw5AUAR,false,0000000833,20,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021fm07QAA,,0,,Bern,Mike Campbell,Switzerland,,,Hallerstrasse 16,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8UxQAL,Mike Campbell,2017-07-13,a104W00000FuSwjQAF,,Contact,,true,true,false,Memo for check 7266153 (from code),,N/A,,Check,2017-07-13,false,,4882238,false,,Bern,Mike Campbell,Switzerland,,,Hallerstrasse 16,,25,Payment,25,j5XJkY7HA6uW8DAwP6i6dPcugemNUaazxrsgWuv1iag=,,,37,,FON-International Association,89,1000 - Cash,,,,,,
a1E4W00000Djw5BUAR,false,0000000834,21,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021flzUQAQ,,0,,Fribourg,Barbara Francis,Switzerland,,,Chemin des Grottes 14,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8VUQA1,FON-Phillips 66,2017-07-15,a104W00000FuSwjQAF,,Account,,true,true,false,Memo for check 5298451 (from code),,N/A,,Check,2017-07-15,false,,3963953,false,,Bern,Barbara Francis,Switzerland,,,Zahringerstrasse 13A,,100,Payment,100,EzPGyMtBYrKNxgOfwqxeFZqZ7c/rszk1OyKIfVqIqZk=,,,80,,FON-International Association,234,1000 - Cash,,,,,,
a1E4W00000Djw5CUAR,false,0000000835,22,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021fm17QAA,"{
  ""actionLabel"" : ""Event"",
  ""actionLinkTarget"" : ""/apex/eventapi__router?event=a1Y6A000000awjqUAA""
}",0,,Bern,Laura Ortiz,Switzerland,,,Mittelstrasse 32,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8VDQA1,FON-Chevron,2017-07-16,a104W00000FuSwjQAF,,Account,,true,true,false,Memo for check 1600438 (from code),,N/A,,Check,2017-07-16,false,,9524195,false,,Fribourg,Laura Ortiz,Switzerland,,,Chemin des Grottes 14,,0,Payment,0,OrK5cq+hfy1tgR+jVGlPvGUc/mh8MsQgJWc6Zoc/2Gc=,,,84,,FON-International Association,137,1000 - Cash,,,,,,
a1E4W00000Djw5DUAR,false,0000000836,23,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021fm19QAA,"{
  ""actionLabel"" : ""Event"",
  ""actionLinkTarget"" : ""/apex/eventapi__router?event=a1Y6A000000awjsUAA""
}",0,,ORPINGTON,Sam Wilkins,United Kingdom,BR5 3QB,,T.M.S HOUSE  CRAY AVENUE,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8VfQAL,Sam Wilkins,2017-07-24,a104W00000FuSwjQAF,,Contact,,true,true,false,Memo for check 7731927 (from code),,N/A,,Check,2017-07-24,false,,10455342,false,,ORPINGTON,Sam Wilkins,United Kingdom,BR5 3QB,,T.M.S HOUSE  CRAY AVENUE,,0,Payment,0,5Fxv37sls5VCzBKxUZpDFDNx2DooIPr3rOGpDAFJFYg=,,,77,,FON-International Association,291,1000 - Cash,,,,,,
a1E4W00000Djw5EUAR,false,0000000837,24,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021fm0FQAQ,,0,,New York,Amy Christensen,United States,10017,New York,529 5th Ave,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8VGQA1,Amy Christensen,2017-07-25,a104W00000FuSwjQAF,,Contact,,true,true,false,Memo for check 8309336 (from code),,N/A,,Check,2017-07-25,false,,3907217,false,,New York,Amy Christensen,United States,10017,New York,529 5th Ave,,25,Payment,25,RvP1oca8va4LbozpbKFodP5HwNSlCSs1L/t615zwb0M=,,,83,,FON-International Association,141,1000 - Cash,,,,,,
a1E4W00000Djw5FUAR,false,0000000838,25,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021fm1BQAQ,"{
  ""actionLabel"" : ""Event"",
  ""actionLinkTarget"" : ""/apex/eventapi__router?event=a1Y6A000000awjlUAA""
}",0,,Oyster Bay,Caroline Lewis,United States,11771,New York,45 Mccouns Ln,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8VpQAL,Caroline Lewis,2017-07-27,a104W00000FuSwjQAF,,Contact,,true,true,false,Memo for check 8510574 (from code),,N/A,,Check,2017-07-27,false,,1840583,false,,Oyster Bay,Caroline Lewis,United States,11771,New York,45 Mccouns Ln,,55,Payment,55,K90ZIb1waqivD45S0VvQB78YwQOdJT51FLNdk4Jgq4A=,,,75,,FON-International Association,1,1000 - Cash,,,,,,
a1E4W00000Djw9CUAR,false,0000001127,26,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021flzVQAQ,,0,,,Mark Burke,,,,,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8TPQA1,Mark Burke,2019-04-16,a104W00000FuSwjQAF,a0z4W00000hqLAlQAM,Contact,57,true,true,false,Sales Order #000001897,a184W00000Ejm3VQAR,VISA **1111 (1/2022),,Credit Card,2019-04-16,false,,Ot25jfPaBq2tsmdsImLnWbW8oRN,false,,,Mark Burke,,,,,,200,Payment,200,7N7F3rQqQTcsdHhdmBBf1i6QRKFw3p4bsvh6QTO2/Jg=,,,67,,FON-International Association,247,1000 - Cash,17,3,,,,
a1E4W00000Djw9DUAR,false,0000001128,27,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021flzVQAQ,,0,,,Mark Burke,,,,,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8TPQA1,Mark Burke,2019-04-16,a104W00000FuSwjQAF,a0z4W00000hqLAmQAM,Contact,51,true,true,false,Sales Order #000001898,a184W00000Ejm3VQAR,VISA **1111 (1/2021),a194W000009HjmRQAS,Credit Card,2019-04-16,false,,a3sX0ksGHBlX0y6ZyD4EBFVVVV4,false,,,Mark Burke,,,,,,100,Payment,100,0q4eucnBObdmRuiBKGGZtYhBXbHNps4hleD5ibvedcc=,,,67,,FON-International Association,247,1000 - Cash,18,3,26,,,
a1E4W00000Djw9EUAR,false,0000001129,28,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021fm1QQAQ,,0,,,Hazel Deegan,,,,,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8WcQAL,Hazel Deegan,2019-04-22,a104W00000FuSwjQAF,,Contact,,true,true,false,Paid by Hazel,,N/A,,Check,2019-04-22,false,,123,false,,,Hazel Deegan,,,,,,300,Payment,300,qrLFN34+5GZx+9omyA2SipjIZL8HhZlI1hrJvc/me5k=,,,63,,FON-International Association,197,1000 - Cash,,,,,,
a1E4W00000Djw9FUAR,false,0000001131,29,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:22.000+0000,2020-09-24T07:28:22.000+0000,0014W000021flzVQAQ,,0,,,Nora Seidel,,,,,a0o4W00000MOvweQAD,true,true,true,0034W00002AU8TQQA1,Nora Seidel,2019-05-03,a104W00000FuSwjQAF,a0z4W00000hqLAnQAM,Contact,66,true,true,false,Sales Order #000001911,a184W00000Ejm3VQAR,VISA **1111 (1/2024),a194W000009HjmTQAS,Credit Card,2019-05-03,false,,LK2LscJxlKpwydD0mgAqGNkiy0u,false,,,Nora Seidel,,,,,,390,Payment,390,9Yq1Ys9Cv2IKYUGudz7d+xkXCgTGfzI7mgQx3Tw39mM=,,,67,,FON-International Association,252,1000 - Cash,19,3,28,,,
