Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,OrderApi__Invoice__c,OrderApi__Activation_Date__c,OrderApi__Adjustment_Reason__c,OrderApi__Auto_Calculate_Activation_Date__c,OrderApi__Business_Group__c,OrderApi__Calculate_Shipping_Details__c,OrderApi__Credit_Memo__c,OrderApi__Deferred_Revenue_Adjustment__c,OrderApi__End_Date__c,OrderApi__GL_Account__c,OrderApi__Is_Adjustment__c,OrderApi__Is_Posted__c,OrderApi__Is_Renewal__c,OrderApi__Is_Shipping_Rate__c,OrderApi__Is_Tax__c,OrderApi__Item_Class__c,OrderApi__Item__c,OrderApi__Line_Description__c,OrderApi__List_Price__c,OrderApi__Parent_Sales_Order_Line__c,OrderApi__Posted_Date__c,OrderApi__Price_Override__c,OrderApi__Price_Rule__c,OrderApi__Quantity__c,OrderApi__Sale_Price__c,OrderApi__Sales_Order_Line__c,OrderApi__Shipping_City__c,OrderApi__Shipping_Contact__c,OrderApi__Shipping_Country__c,OrderApi__Shipping_Postal_Code__c,OrderApi__Shipping_State__c,OrderApi__Shipping_Street__c,OrderApi__Subscription_Plan__c,OrderApi__Subscription__c,OrderApi__Subtotal__c,OrderApi__Tax_Override__c,OrderApi__Tax_Percent__c,OrderApi__Total__c,OrderApi__AR_Account__c,OrderApi__Adjustments__c,OrderApi__Amount_Paid__c,OrderApi__Amount_Refunded__c,OrderApi__Balance_Due__c,OrderApi__Contact__c,OrderApi__Credits_Applied__c,OrderApi__Invoice_Line__c,OrderApi__Is_Child_Line__c,OrderApi__Payment_Priority__c,OrderApi__Credit_Note__c,OrderApi__Tax_Amount__c,OrderApi__Total_with_Tax__c,OrderApi__Invoice__r.External_Id__c,OrderApi__Business_Group__r.Name,OrderApi__Credit_Memo__r.External_Id__c,OrderApi__GL_Account__r.Name,OrderApi__Item_Class__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Parent_Sales_Order_Line__r.External_Id__c,OrderApi__Price_Rule__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Subscription_Plan__r.Name,OrderApi__Subscription__r.External_Id__c,OrderApi__AR_Account__r.Name,OrderApi__Contact__r.External_Id__c,OrderApi__Invoice_Line__r.External_Id__c,OrderApi__Credit_Note__r.External_Id__c
a114W00000LFqJVQA1,false,0000002615,11,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbErbQAF,2020-04-20,,true,a0o4W00000MOvweQAD,true,,false,2020-12-31,a104W00000FuSx9QAF,false,false,false,false,false,a134W000008hIDMQA2,a154W000008mjplQAA,Company Membership,5000,,,true,,1,416.67,a1I4W00000H4JxAUAV,,,,,,,a1R4W0000048ZSOUA2,,416.67,false,0,416.67,a104W00000FuSwkQAF,0,0,0,416.67,,0,,false,,,,,227,FON-International Association,,4100 - Organization Membership Income,123,219,,,2045,FON-1 Year Calendar with Installments,,1100 - Accounts Receivable,,,
a114W00000LFqJWQA1,false,0000002616,12,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbErcQAF,2020-04-20,,true,a0o4W00000MOvweQAD,true,,false,2020-12-31,a104W00000FuSx9QAF,false,false,false,false,false,a134W000008hIDMQA2,a154W000008mjplQAA,Company Membership,5000,,,true,,1,416.67,a1I4W00000H4JxAUAV,,,,,,,a1R4W0000048ZSOUA2,,416.67,false,0,416.67,a104W00000FuSwkQAF,0,0,0,416.67,,0,,false,,,,,228,FON-International Association,,4100 - Organization Membership Income,123,219,,,2045,FON-1 Year Calendar with Installments,,1100 - Accounts Receivable,,,
a114W00000LFqJXQA1,false,0000002617,13,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbErdQAF,2020-04-20,,true,a0o4W00000MOvweQAD,true,,false,2020-12-31,a104W00000FuSx9QAF,false,false,false,false,false,a134W000008hIDMQA2,a154W000008mjplQAA,Company Membership,5000,,,true,,1,416.67,a1I4W00000H4JxAUAV,,,,,,,a1R4W0000048ZSOUA2,,416.67,false,0,416.67,a104W00000FuSwkQAF,0,0,0,416.67,,0,,false,,,,,229,FON-International Association,,4100 - Organization Membership Income,123,219,,,2045,FON-1 Year Calendar with Installments,,1100 - Accounts Receivable,,,
a114W00000LFqJYQA1,false,0000002618,14,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEreQAF,2020-04-20,,true,a0o4W00000MOvweQAD,true,,false,2020-12-31,a104W00000FuSx9QAF,false,false,false,false,false,a134W000008hIDMQA2,a154W000008mjplQAA,Company Membership,5000,,,true,,1,416.67,a1I4W00000H4JxAUAV,,,,,,,a1R4W0000048ZSOUA2,,416.67,false,0,416.67,a104W00000FuSwkQAF,0,0,0,416.67,,0,,false,,,,,230,FON-International Association,,4100 - Organization Membership Income,123,219,,,2045,FON-1 Year Calendar with Installments,,1100 - Accounts Receivable,,,
a114W00000LFqJZQA1,false,0000002619,15,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbErfQAF,2020-04-20,,true,a0o4W00000MOvweQAD,true,,false,2020-12-31,a104W00000FuSx9QAF,false,false,false,false,false,a134W000008hIDMQA2,a154W000008mjplQAA,Company Membership,5000,,,true,,1,416.67,a1I4W00000H4JxAUAV,,,,,,,a1R4W0000048ZSOUA2,,416.67,false,0,416.67,a104W00000FuSwkQAF,0,0,0,416.67,,0,,false,,,,,259,FON-International Association,,4100 - Organization Membership Income,123,219,,,2045,FON-1 Year Calendar with Installments,,1100 - Accounts Receivable,,,
a114W00000LFqJaQAL,false,0000002620,16,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbErgQAF,2020-04-20,,true,a0o4W00000MOvweQAD,true,,false,2020-12-31,a104W00000FuSx9QAF,false,false,false,false,false,a134W000008hIDMQA2,a154W000008mjplQAA,Company Membership,5000,,,true,,1,416.67,a1I4W00000H4JxAUAV,,,,,,,a1R4W0000048ZSOUA2,,416.67,false,0,416.67,a104W00000FuSwkQAF,0,0,0,416.67,,0,,false,,,,,257,FON-International Association,,4100 - Organization Membership Income,123,219,,,2045,FON-1 Year Calendar with Installments,,1100 - Accounts Receivable,,,
a114W00000LFqJbQAL,false,0000002621,17,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbErhQAF,2020-04-20,,true,a0o4W00000MOvweQAD,true,,false,2020-12-31,a104W00000FuSx9QAF,false,false,false,false,false,a134W000008hIDMQA2,a154W000008mjplQAA,Company Membership,5000,,,true,,1,416.67,a1I4W00000H4JxAUAV,,,,,,,a1R4W0000048ZSOUA2,,416.67,false,0,416.67,a104W00000FuSwkQAF,0,0,0,416.67,,0,,false,,,,,258,FON-International Association,,4100 - Organization Membership Income,123,219,,,2045,FON-1 Year Calendar with Installments,,1100 - Accounts Receivable,,,
a114W00000LFqO5QAL,false,0000001300,18,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEtwQAF,,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwnQAF,true,true,false,false,false,,,Write Off,0,,2018-04-22,false,,1,-40,,Zurich,Shawn Schultz,Switzerland,,,Dreikonigstrasse 26,,,-40,false,0,-40,a104W00000FuSwjQAF,0,0,0,0,0034W00002AU8VCQA1,0,,true,,,,,98,FON-International Association,,7100 - Write Offs,,,,,,,,1000 - Cash,136,,
a114W00000LFqO6QAL,false,0000001301,19,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEtzQAF,,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwnQAF,true,true,false,false,false,,,Write Off,0,,2018-04-22,false,,1,-25,,Bethesda,Verna Rice,United States,20814,Maryland,4623 Rosedale Avenue,,,-25,false,0,-25,a104W00000FuSwjQAF,0,0,0,0,0034W00002AU8T8QAL,0,,true,,,,,101,FON-International Association,,7100 - Write Offs,,,,,,,,1000 - Cash,139,,
a114W00000LFqO7QAL,false,0000001302,20,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu1QAF,,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwnQAF,true,true,false,false,false,,,Write Off,0,,2018-04-22,false,,1,-5,,Upper Darby,Nellie Ford,United States,19082,Pennsylvania,240 Ashby Rd,,,-5,false,0,-5,a104W00000FuSwjQAF,0,0,0,0,0034W00002AU8VFQA1,0,,true,,,,,103,FON-International Association,,7100 - Write Offs,,,,,,,,1000 - Cash,140,,
a114W00000LFqO8QAL,false,0000001303,21,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu2QAF,,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwnQAF,true,true,false,false,false,,,Write Off,0,,2018-04-22,false,,1,-25,,New York,Amy Christensen,United States,10017,New York,529 5th Ave,,,-25,false,0,-25,a104W00000FuSwjQAF,0,0,0,0,0034W00002AU8VGQA1,0,,true,,,,,104,FON-International Association,,7100 - Write Offs,,,,,,,,1000 - Cash,141,,
a114W00000LFqO9QAL,false,0000001304,22,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu4QAF,,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwnQAF,true,true,false,false,false,,,Write Off,0,,2018-04-22,false,,1,-5,,Muskegon,Aaron Marsh,United States,49444,Michigan,3368 Black Creek Rd,,,-5,false,0,-5,a104W00000FuSwjQAF,0,0,0,0,0034W00002AU8VHQA1,0,,true,,,,,131,FON-International Association,,7100 - Write Offs,,,,,,,,1000 - Cash,142,,
a114W00000LFqOAQA1,false,0000001305,23,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu4QAF,,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwjQAF,false,false,false,false,true,a134W000008hIDVQA2,,Tax Class Default Tax Rate,0,,,true,,1,0,a1I4W00000H4K48UAF,Muskegon,Aaron Marsh,United States,49444,Michigan,,,,0,false,0,0,a104W00000FuSwjQAF,0,0,0,0,,0,,false,,,,,131,FON-International Association,,1000 - Cash,114,,,,1689,,,1000 - Cash,,,
a114W00000LFqOBQA1,false,0000001306,24,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu5QAF,,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwjQAF,false,false,false,false,false,a134W000008hIDDQA2,a154W000008mjq0QAA,Fonteva T-Shirt - Womens,15,,,false,,1,15,a1I4W00000H4K4CUAV,Baltimore,Randall Schneider,United States,21218,Maryland,,,,15,false,0,15,a104W00000FuSwjQAF,0,0,0,15,,0,,false,,,,,132,FON-International Association,,1000 - Cash,116,519,,,1693,,,1000 - Cash,,,
a114W00000LFqOCQA1,false,0000001307,25,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu5QAF,,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwjQAF,false,false,false,false,true,a134W000008hIDVQA2,,Tax Class Default Tax Rate,0,,,true,,1,0,a1I4W00000H4K4DUAV,Baltimore,Randall Schneider,United States,21218,Maryland,,,,0,false,0,0,a104W00000FuSwjQAF,0,0,0,0,,0,,false,,,,,132,FON-International Association,,1000 - Cash,114,,,,1694,,,1000 - Cash,,,
a114W00000LFqODQA1,false,0000001308,26,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu6QAF,2015-01-08,,true,a0o4W00000MOvweQAD,true,,false,2015-06-30,a104W00000FuSwjQAF,false,false,false,false,false,a134W000008hIDHQA2,a154W000008mjp9QAA,Associate Membership,150,,,true,,1,75,a1I4W00000H4K4EUAV,San Francisco,Tom Schultz,United States,94108,California,,,,75,false,0,75,a104W00000FuSwjQAF,0,0,0,75,,0,,false,,,,,133,FON-International Association,,1000 - Cash,119,545,,,1695,,,1000 - Cash,,,
a114W00000LFqOEQA1,false,0000001309,27,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu6QAF,2015-01-08,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwjQAF,false,false,false,false,false,a134W000008hIDDQA2,a154W000008mjppQAA,Cloud Stress Ball,1,,,true,,1,0,a1I4W00000H4K4FUAV,San Francisco,Tom Schultz,United States,94108,California,,,,0,false,0,0,a104W00000FuSwjQAF,0,0,0,0,,0,,false,,,,,133,FON-International Association,,1000 - Cash,116,480,,,1696,,,1000 - Cash,,,
a114W00000LFqOFQA1,false,0000001310,28,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu6QAF,,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwjQAF,false,false,false,false,true,a134W000008hIDVQA2,,Tax Class Default Tax Rate,0,,,true,,1,0,a1I4W00000H4K4GUAV,San Francisco,Tom Schultz,United States,94108,California,,,,0,false,0,0,a104W00000FuSwjQAF,0,0,0,0,,0,,false,,,,,133,FON-International Association,,1000 - Cash,114,,,,1697,,,1000 - Cash,,,
a114W00000LFqOGQA1,false,0000001311,29,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu7QAF,2015-05-01,,true,a0o4W00000MOvweQAD,true,,false,2015-06-30,a104W00000FuSwjQAF,false,false,false,false,false,a134W000008hIDHQA2,a154W000008mjpLQAQ,Professional Membership,300,,,true,,1,50,a1I4W00000H4K4MUAV,Urbana,Jerome Bates,United States,61801,Illinois,,,,50,false,0,50,a104W00000FuSwjQAF,0,0,0,50,,0,,false,,,,,134,FON-International Association,,1000 - Cash,119,546,,,1792,,,1000 - Cash,,,
a114W00000LFqOHQA1,false,0000001312,30,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu7QAF,2015-05-01,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwjQAF,false,false,false,false,false,a134W000008hIDDQA2,a154W000008mjppQAA,Cloud Stress Ball,1,,,true,,1,0,a1I4W00000H4K4NUAV,Urbana,Jerome Bates,United States,61801,Illinois,,,,0,false,0,0,a104W00000FuSwjQAF,0,0,0,0,,0,,false,,,,,134,FON-International Association,,1000 - Cash,116,480,,,1793,,,1000 - Cash,,,
a114W00000LFqOIQA1,false,0000001313,31,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu7QAF,,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwjQAF,false,false,false,false,true,a134W000008hIDVQA2,,Tax Class Default Tax Rate,0,,,true,,1,0,a1I4W00000H4K4OUAV,Urbana,Jerome Bates,United States,61801,Illinois,,,,0,false,0,0,a104W00000FuSwjQAF,0,0,0,0,,0,,false,,,,,134,FON-International Association,,1000 - Cash,114,,,,1794,,,1000 - Cash,,,
a114W00000LFqOJQA1,false,0000001314,32,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu8QAF,,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwjQAF,false,false,false,false,false,a134W000008hIDDQA2,a154W000008mjq3QAA,Fonteva T-Shirt - Mens,15,,,false,,1,15,a1I4W00000H4K4PUAV,Stratford,Jim Neal,United States,6615,Connecticut,,,,15,false,0,15,a104W00000FuSwjQAF,0,0,0,15,,0,,false,,,,,135,FON-International Association,,1000 - Cash,116,518,,,1795,,,1000 - Cash,,,
a114W00000LFqOKQA1,false,0000001315,33,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu8QAF,,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwjQAF,false,false,false,false,true,a134W000008hIDVQA2,,Tax Class Default Tax Rate,0,,,true,,1,0,a1I4W00000H4K4QUAV,Stratford,Jim Neal,United States,6615,Connecticut,,,,0,false,0,0,a104W00000FuSwjQAF,0,0,0,0,,0,,false,,,,,135,FON-International Association,,1000 - Cash,114,,,,1796,,,1000 - Cash,,,
a114W00000LFqOLQA1,false,0000001319,34,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEu9QAF,,,true,a0o4W00000MOvweQAD,true,,false,,a104W00000FuSwjQAF,false,false,false,false,false,a134W000008hIDCQA2,a154W000008mjp0QAA,Book,100,,,false,,1,100,a1I4W00000H4K4RUAV,New York,Jim Neal,United States,10121,New York,,,,100,false,0,100,a104W00000FuSwjQAF,0,0,0,100,,0,,false,,,,,136,FON-International Association,,1000 - Cash,117,536,,,1797,,,1000 - Cash,,,
a114W00000LFqOMQA1,false,0000001320,35,2020-08-28T02:16:22.000+0000,2020-09-28T06:37:24.000+0000,2020-09-28T06:37:24.000+0000,a124W00000LbEuAQAV,2016-10-10,,true,a0o4W00000MOvweQAD,true,,false,2017-06-30,a104W00000FuSwjQAF,false,false,false,false,false,a134W000008hIDHQA2,a154W000008mjpLQAQ,Professional Membership,300,,,true,,1,225,a1I4W00000H4K4SUAV,Los Alamos,David Tyler,United States,87544,New Mexico,,,,225,false,0,225,a104W00000FuSwjQAF,0,0,0,225,,0,,false,,,,,137,FON-International Association,,1000 - Cash,119,546,,,1798,,,1000 - Cash,,,
