Id,Name,OrderApi__Account__c,OrderApi__Batch__c,OrderApi__Business_Group__c,OrderApi__Contact__c,OrderApi__Credit_Memo_Line__c,OrderApi__Credit_Memo__c,OrderApi__Customer_Link__c,OrderApi__Date__c,OrderApi__Entity__c,OrderApi__Invoice__c,OrderApi__Is_Valid__c,OrderApi__Memo__c,OrderApi__Receipt_Type__c,OrderApi__Receipt__c,OrderApi__Sales_Order__c,OrderApi__Source_Code__c,OrderApi__Subscription__c,OrderApi__Type__c,OrderApi__Num_Lines__c,OrderApi__Total_Credits__c,OrderApi__Total_Debits__c,OrderApi__Account__r.Id,OrderApi__Batch__r.Id,OrderApi__Business_Group__r.Name,OrderApi__Contact__r.Id,OrderApi__Credit_Memo_Line__r.Id,OrderApi__Credit_Memo__r.Id,OrderApi__Invoice__r.Id,OrderApi__Receipt__r.Id,OrderApi__Sales_Order__r.Id,OrderApi__Source_Code__r.Id,OrderApi__Subscription__r.Id
a1V4W00000FrAduUAF,0000001749,0014W000025FRkNQAW,,a0o4W00000M5SknQAF,0034W00002DpocWQAR,,,"<a href=""/0034W00002DpocW"" target="""">prathyusha Test</a>",2019-08-09,Contact,,true,Posting Receipt #0000001146,Payment,a1E4W00000DtY9zUAF,a1J4W00000CgFoHUAV,,,Cash,3,200,200,0014W000025FRkNQAW,,FON-International Association,0034W00002DpocWQAR,,,,a1E4W00000DtY9zUAF,a1J4W00000CgFoHUAV,,
a1V4W00000FrAdvUAF,0000001750,0014W000025FRkNQAW,,a0o4W00000M5SknQAF,0034W00002DpocWQAR,,,"<a href=""/0034W00002DpocW"" target="""">prathyusha Test</a>",2019-08-09,Contact,,true,Posting Receipt #0000001146,Payment,a1E4W00000DtY9zUAF,a1J4W00000CgFoHUAV,,,Cash,2,100,100,0014W000025FRkNQAW,,FON-International Association,0034W00002DpocWQAR,,,,a1E4W00000DtY9zUAF,a1J4W00000CgFoHUAV,,
a1V4W00000FrAdwUAF,0000001751,0014W000025FRkNQAW,,a0o4W00000M5SknQAF,0034W00002DpocWQAR,,,"<a href=""/0034W00002DpocW"" target="""">prathyusha Test</a>",2019-08-09,Contact,,true,Posting Receipt #0000001146,Payment,a1E4W00000DtY9zUAF,a1J4W00000CgFoHUAV,,,Cash,2,100,100,0014W000025FRkNQAW,,FON-International Association,0034W00002DpocWQAR,,,,a1E4W00000DtY9zUAF,a1J4W00000CgFoHUAV,,
a1V4W00000FrAdxUAF,0000001752,0014W000025FRkNQAW,,a0o4W00000M5SknQAF,0034W00002DpocWQAR,,,"<a href=""/0034W00002DpocW"" target="""">prathyusha Test</a>",2019-08-09,Contact,,true,Posting Receipt #0000001147,Payment,a1E4W00000DtYA0UAN,a1J4W00000CgFoIUAV,,,Cash,5,400,400,0014W000025FRkNQAW,,FON-International Association,0034W00002DpocWQAR,,,,a1E4W00000DtYA0UAN,a1J4W00000CgFoIUAV,,
a1V4W00000FrAdyUAF,0000001758,0014W000025FRkNQAW,,a0o4W00000M5SknQAF,,,,"<a href=""/"" target=""""> </a>",2019-08-13,Contact,,true,Posting Receipt #0000001149,Payment,a1E4W00000DtYA1UAN,a1J4W00000CgFoNUAV,,,Cash,3,200,200,0014W000025FRkNQAW,,FON-International Association,,,,,a1E4W00000DtYA1UAN,a1J4W00000CgFoNUAV,,
a1V4W00000FrAdzUAF,0000001759,0014W000025FRkNQAW,,a0o4W00000M5SknQAF,,,,"<a href=""/"" target=""""> </a>",2019-08-13,Contact,,true,Posting Receipt #0000001149,Payment,a1E4W00000DtYA1UAN,a1J4W00000CgFoNUAV,,,Cash,2,100,100,0014W000025FRkNQAW,,FON-International Association,,,,,a1E4W00000DtYA1UAN,a1J4W00000CgFoNUAV,,
a1V4W00000FrAe0UAF,0000001760,0014W000025FRkNQAW,,a0o4W00000M5SknQAF,,,,"<a href=""/"" target=""""> </a>",2019-08-13,Contact,,true,Posting Receipt #0000001149,Payment,a1E4W00000DtYA1UAN,a1J4W00000CgFoNUAV,,,Cash,2,100,100,0014W000025FRkNQAW,,FON-International Association,,,,,a1E4W00000DtYA1UAN,a1J4W00000CgFoNUAV,,
a1V4W00000FrAe1UAF,0000001780,0014W000025FRkNQAW,,a0o4W00000M5SknQAF,0034W00002Dpoe4QAB,,,"<a href=""/0034W00002Dpoe4"" target="""">Jack Nicholson</a>",2019-08-14,Contact,,true,Posting Receipt #0000001151,Payment,a1E4W00000DtYA2UAN,a1J4W00000CgFoOUAV,,,Cash,2,10000,10000,0014W000025FRkNQAW,,FON-International Association,0034W00002Dpoe4QAB,,,,a1E4W00000DtYA2UAN,a1J4W00000CgFoOUAV,,
a1V4W00000FrAe2UAF,0000001782,0014W000025FRkNQAW,,a0o4W00000M5SknQAF,0034W00002DpocYQAR,,,"<a href=""/0034W00002DpocY"" target="""">Bhakti Ash</a>",2019-08-15,Contact,a124W00000MTdc7QAD,true,Posting Invoice #000000662,,,a1J4W00000CgFoSUAV,,,Receivable,2,975,975,0014W000025FRkNQAW,,FON-International Association,0034W00002DpocYQAR,,,a124W00000MTdc7QAD,,a1J4W00000CgFoSUAV,,
a1V4W00000FrAe3UAF,0000001783,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2019-09-10,Contact,,true,Posting Receipt #0000001153,Payment,a1E4W00000DtYA3UAN,a1J4W00000CgG67UAF,,,Cash,3,1525,1525,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA3UAN,a1J4W00000CgG67UAF,,
a1V4W00000FrAe4UAF,0000001784,0014W000025FRkNQAW,,a0o4W00000M5SknQAF,0034W00002Dpoe5QAB,,,"<a href=""/0034W00002Dpoe5"" target="""">Kristin Richeimer</a>",2019-09-18,Contact,,true,Posting Receipt #0000001154,Payment,a1E4W00000DtYA4UAN,a1J4W00000CgFomUAF,,,Cash,2,10000,10000,0014W000025FRkNQAW,,FON-International Association,0034W00002Dpoe5QAB,,,,a1E4W00000DtYA4UAN,a1J4W00000CgFomUAF,,
a1V4W00000FrAe5UAF,0000001785,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2019-09-20,Contact,,true,Posting Receipt #0000001155,Payment,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,,Cash,2,300,300,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,
a1V4W00000FrAe6UAF,0000001786,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2019-09-30,Contact,,true,Posting Receipt #0000001155,Payment,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,,Cash,2,25,25,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,
a1V4W00000FrAe7UAF,0000001787,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2019-10-31,Contact,,true,Posting Receipt #0000001155,Payment,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,,Cash,2,25,25,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,
a1V4W00000FrAe8UAF,0000001788,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2019-11-30,Contact,,true,Posting Receipt #0000001155,Payment,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,,Cash,2,25,25,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,
a1V4W00000FrAe9UAF,0000001789,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2019-12-31,Contact,,true,Posting Receipt #0000001155,Payment,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,,Cash,2,25,25,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,
a1V4W00000FrAeAUAV,0000001790,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-01-31,Contact,,true,Posting Receipt #0000001155,Payment,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,,Cash,2,25,25,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,
a1V4W00000FrAeBUAV,0000001791,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-02-29,Contact,,true,Posting Receipt #0000001155,Payment,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,,Cash,2,25,25,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,
a1V4W00000FrAeCUAV,0000001792,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-03-31,Contact,,true,Posting Receipt #0000001155,Payment,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,,Cash,2,25,25,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,
a1V4W00000FrAeDUAV,0000001793,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-04-30,Contact,,true,Posting Receipt #0000001155,Payment,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,,Cash,2,25,25,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,
a1V4W00000FrAeEUAV,0000001794,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-05-31,Contact,,true,Posting Receipt #0000001155,Payment,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,,Cash,2,25,25,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,
a1V4W00000FrAeFUAV,0000001795,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-06-30,Contact,,true,Posting Receipt #0000001155,Payment,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,,Cash,2,25,25,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,
a1V4W00000FrAeGUAV,0000001796,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-07-31,Contact,,true,Posting Receipt #0000001155,Payment,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,,Cash,2,25,25,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,
a1V4W00000FrAeHUAV,0000001797,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-08-31,Contact,,true,Posting Receipt #0000001155,Payment,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,,Cash,2,25,25,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA5UAN,a1J4W00000CgFotUAF,,
a1V4W00000FrAeIUAV,0000001798,0014W000025FRkNQAW,,a0o4W00000M5SknQAF,,,,"<a href=""/"" target=""""> </a>",2019-10-09,Contact,,true,Posting Receipt #0000001156,Payment,a1E4W00000DtYA6UAN,a1J4W00000CgFoxUAF,,,Cash,3,20,20,0014W000025FRkNQAW,,FON-International Association,,,,,a1E4W00000DtYA6UAN,a1J4W00000CgFoxUAF,,
a1V4W00000FrAeJUAV,0000001799,0014W000025FRkNQAW,,a0o4W00000M5SknQAF,0034W00002Dpoe6QAB,,,"<a href=""/0034W00002Dpoe6"" target="""">bob kelley</a>",2019-10-10,Contact,,true,Posting Receipt #0000001157,Payment,a1E4W00000DtYA7UAN,a1J4W00000CgFozUAF,,,Cash,2,20000,20000,0014W000025FRkNQAW,,FON-International Association,0034W00002Dpoe6QAB,,,,a1E4W00000DtYA7UAN,a1J4W00000CgFozUAF,,
a1V4W00000FrAeKUAV,0000001800,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2019-11-05,Contact,,true,Posting Receipt #0000001158,Payment,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,,Cash,2,2500,2500,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,
a1V4W00000FrAeLUAV,0000001801,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-01-31,Contact,,true,Posting Receipt #0000001158,Payment,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,,Cash,2,208.33,208.33,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,
a1V4W00000FrAeMUAV,0000001802,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-02-29,Contact,,true,Posting Receipt #0000001158,Payment,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,,Cash,2,208.33,208.33,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,
a1V4W00000FrAeNUAV,0000001803,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-03-31,Contact,,true,Posting Receipt #0000001158,Payment,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,,Cash,2,208.33,208.33,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,
a1V4W00000FrAeOUAV,0000001804,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-04-30,Contact,,true,Posting Receipt #0000001158,Payment,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,,Cash,2,208.33,208.33,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,
a1V4W00000FrAePUAV,0000001805,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-05-31,Contact,,true,Posting Receipt #0000001158,Payment,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,,Cash,2,208.33,208.33,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,
a1V4W00000FrAeQUAV,0000001806,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-06-30,Contact,,true,Posting Receipt #0000001158,Payment,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,,Cash,2,208.33,208.33,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,
a1V4W00000FrAeRUAV,0000001807,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-07-31,Contact,,true,Posting Receipt #0000001158,Payment,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,,Cash,2,208.33,208.33,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,
a1V4W00000FrAeSUAV,0000001808,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-08-31,Contact,,true,Posting Receipt #0000001158,Payment,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,,Cash,2,208.33,208.33,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,
a1V4W00000FrAeTUAV,0000001809,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-09-30,Contact,,true,Posting Receipt #0000001158,Payment,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,,Cash,2,208.33,208.33,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,
a1V4W00000FrAeUUAV,0000001810,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-10-31,Contact,,true,Posting Receipt #0000001158,Payment,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,,Cash,2,208.33,208.33,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,
a1V4W00000FrAeVUAV,0000001811,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-11-30,Contact,,true,Posting Receipt #0000001158,Payment,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,,Cash,2,208.33,208.33,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,
a1V4W00000FrAeWUAV,0000001812,0014W000025FRkKQAW,,a0o4W00000M5SknQAF,0034W00002DpodbQAB,,,"<a href=""/0034W00002Dpodb"" target="""">Bob Kelley</a>",2020-12-31,Contact,,true,Posting Receipt #0000001158,Payment,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,,Cash,2,208.37,208.37,0014W000025FRkKQAW,,FON-International Association,0034W00002DpodbQAB,,,,a1E4W00000DtYA8UAN,a1J4W00000CgFp7UAF,,
a1V4W00000FrAeXUAV,0000001813,0014W000025FRkQQAW,,a0o4W00000M5SknQAF,0034W00002DpocbQAB,,,"<a href=""/0034W00002Dpocb"" target="""">Ellen Don&#39;t use</a>",2019-11-05,Contact,,true,Posting Receipt #0000001159,Payment,a1E4W00000DtYA9UAN,,,,Cash,2,300,300,0014W000025FRkQQAW,,FON-International Association,0034W00002DpocbQAB,,,,a1E4W00000DtYA9UAN,,,
a1V4W00000FrAeYUAV,0000001814,0014W000025FRkQQAW,,a0o4W00000M5SknQAF,0034W00002DpocbQAB,,,"<a href=""/0034W00002Dpocb"" target="""">Ellen Don&#39;t use</a>",2019-11-30,Contact,,true,Posting Receipt #0000001159,Payment,a1E4W00000DtYA9UAN,,,,Cash,2,25,25,0014W000025FRkQQAW,,FON-International Association,0034W00002DpocbQAB,,,,a1E4W00000DtYA9UAN,,,
a1V4W00000FrAeZUAV,0000001815,0014W000025FRkQQAW,,a0o4W00000M5SknQAF,0034W00002DpocbQAB,,,"<a href=""/0034W00002Dpocb"" target="""">Ellen Don&#39;t use</a>",2019-12-31,Contact,,true,Posting Receipt #0000001159,Payment,a1E4W00000DtYA9UAN,,,,Cash,2,25,25,0014W000025FRkQQAW,,FON-International Association,0034W00002DpocbQAB,,,,a1E4W00000DtYA9UAN,,,
a1V4W00000FrAeaUAF,0000001816,0014W000025FRkQQAW,,a0o4W00000M5SknQAF,0034W00002DpocbQAB,,,"<a href=""/0034W00002Dpocb"" target="""">Ellen Don&#39;t use</a>",2020-01-31,Contact,,true,Posting Receipt #0000001159,Payment,a1E4W00000DtYA9UAN,,,,Cash,2,25,25,0014W000025FRkQQAW,,FON-International Association,0034W00002DpocbQAB,,,,a1E4W00000DtYA9UAN,,,
a1V4W00000FrAebUAF,0000001817,0014W000025FRkQQAW,,a0o4W00000M5SknQAF,0034W00002DpocbQAB,,,"<a href=""/0034W00002Dpocb"" target="""">Ellen Don&#39;t use</a>",2020-02-29,Contact,,true,Posting Receipt #0000001159,Payment,a1E4W00000DtYA9UAN,,,,Cash,2,25,25,0014W000025FRkQQAW,,FON-International Association,0034W00002DpocbQAB,,,,a1E4W00000DtYA9UAN,,,
a1V4W00000FrAecUAF,0000001818,0014W000025FRkQQAW,,a0o4W00000M5SknQAF,0034W00002DpocbQAB,,,"<a href=""/0034W00002Dpocb"" target="""">Ellen Don&#39;t use</a>",2020-03-31,Contact,,true,Posting Receipt #0000001159,Payment,a1E4W00000DtYA9UAN,,,,Cash,2,25,25,0014W000025FRkQQAW,,FON-International Association,0034W00002DpocbQAB,,,,a1E4W00000DtYA9UAN,,,
