Id,EventApi__Assignment__c,Name,EventApi__Event__c,EventApi__Account__c,EventApi__Contact__c,EventApi__Email__c,EventApi__Full_Name__c,EventApi__Is_Checked_In__c,EventApi__Is_Registered__c,EventApi__Preferred_Email__c,EventApi__Registration_Date__c,EventApi__Registration_Group__c,EventApi__Registration_Site_Url__c,EventApi__Sales_Order_Line__c,EventApi__Sales_Order__c,EventApi__Send_Notification__c,EventApi__Status__c,EventApi__Ticket_Type__c,EventApi__Registration_Total__c,EventApi__Contact_Created_by_System__c,EventApi__Invitation_Status__c,EventApi__Is_Invitation_Accepted__c,EventApi__Is_Invitation_Declined__c,EventApi__Is_Invitation_Not_Sent__c,EventApi__Is_Invitation_Sent__c,EventApi__Last_Invitation_Email_Sent__c,EventApi__Max_Guests_Allowed__c,EventApi__Refund_Requested__c,EventApi__Seat__c,EventApi__Send_Invitation_Email__c,EventApi__First_Name__c,EventApi__Last_Name__c,EventApi__Assigned_Guest_Ticket_Type__c,EventApi__Invitation_Source__c,Test_Engagement_Score__c,Event_Name__c,Event_NameDis__c,Ticket__c,EventApi__Assignment__r.Id,EventApi__Event__r.Id,EventApi__Account__r.Id,EventApi__Contact__r.Id,EventApi__Registration_Group__r.Id,EventApi__Sales_Order_Line__r.Id,EventApi__Sales_Order__r.Id,EventApi__Ticket_Type__r.Id,EventApi__Seat__r.Id,EventApi__Assigned_Guest_Ticket_Type__r.Id
a1W4W00000Aq8gJUAR,,000001303,a1Y4W000002r0bpUAA,,0034W00002DpohFQAR,jradcliff@mailinator.com,James Radcliff,false,false,jradcliff@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,James,Radcliff,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002DpohFQAR,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gKUAR,,000001304,a1Y4W000002r0bpUAA,,0034W00002Dpoh5QAB,csamuels@mailinator.com,Carol Samuels,false,false,csamuels@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Carol,Samuels,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002Dpoh5QAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gLUAR,,000001305,a1Y4W000002r0bpUAA,,0034W00002DpohQQAR,marleen.watson@mailinator.com,Marleen Watson,false,false,marleen.watson@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Marleen,Watson,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002DpohQQAR,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gMUAR,,000001306,a1Y4W000002r0bpUAA,,0034W00002Dpoh6QAB,chenry@mailinator.com,Claudia Henry,false,false,chenry@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Claudia,Henry,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002Dpoh6QAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gNUAR,,000001307,a1Y4W000002r0bpUAA,,0034W00002Dpoh4QAB,nkoziol@mailinator.com,Nikolaos Koziol,false,false,nkoziol@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Nikolaos,Koziol,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002Dpoh4QAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gOUAR,,000001308,a1Y4W000002r0bpUAA,,0034W00002DpognQAB,jsmythe@mailinator.com,Janice Smythe,false,false,jsmythe@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Janice,Smythe,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002DpognQAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gPUAR,,000001309,a1Y4W000002r0bpUAA,,0034W00002DpoemQAB,jcena@mailinator.com,John Cena,false,false,jcena@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,John,Cena,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002DpoemQAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gQUAR,,000001372,a1Y4W000002r0bpUAA,,0034W00002DpofyQAB,williamcurtis@mailinator.com,William Curtis,false,false,williamcurtis@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,William,Curtis,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002DpofyQAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gRUAR,,000001373,a1Y4W000002r0bpUAA,,0034W00002DpofzQAB,barbarafrancis@mailinator.com,Barbara Francis,false,false,barbarafrancis@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Barbara,Francis,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002DpofzQAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gSUAR,,000001374,a1Y4W000002r0bpUAA,,0034W00002Dpog0QAB,josehernandez@mailinator.com,Jose Hernandez,false,false,josehernandez@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Jose,Hernandez,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002Dpog0QAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8kSUAR,,000000614,a1Y4W000002r0boUAA,,0034W00002DpodiQAB,nvyas@mailinator.com,Neal Vyas,false,false,nvyas@mailinator.com,,,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/apex/eventapi__router?attendee=a1W6A000001umWwUAI&event=a1Y6A000002a2ZGUAY,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Sent,false,false,false,true,2019-02-18T18:22:20.000+0000,,false,,false,Neal,Vyas,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002DpodiQAB,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8kTUAR,,000000615,a1Y4W000002r0boUAA,,0034W00002DpodhQAB,jsmith@mailinator.com,Julie Walsh,false,false,jwalsh@mailinator.com,,,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/apex/eventapi__router?attendee=a1W6A000001umWxUAI&event=a1Y6A000002a2ZGUAY,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Sent,false,false,false,true,2019-02-18T18:22:20.000+0000,,false,,false,Julie,Smith,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002DpodhQAB,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8kUUAR,,000000616,a1Y4W000002r0boUAA,,,,Hayley Tuesday,false,false,,,,,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Not Sent,false,false,true,false,,,false,,false,Hayley,Tuesday,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8kVUAR,,000000618,a1Y4W000002r0boUAA,,0034W00002Dpoh0QAB,,FON Installment Invoice,false,false,,,,,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Not Sent,false,false,true,false,,,false,,false,FON,Installment Invoice,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002Dpoh0QAB,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8kWUAR,,000000619,a1Y4W000002r0boUAA,,0034W00002DpogxQAB,,FON Installment Payments Example,false,false,,,,,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Not Sent,false,false,true,false,,,false,,false,,FON Installment Payments Example,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002DpogxQAB,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8kXUAR,,000000620,a1Y4W000002r0boUAA,,0034W00002DpogwQAB,,FON Proforma Invoice Example,false,false,,,,,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Not Sent,false,false,true,false,,,false,,false,,FON Proforma Invoice Example,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002DpogwQAB,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8kYUAR,,000000622,a1Y4W000002r0boUAA,,0034W00002DpogyQAB,,FON Overpayment on Invoice Example,false,false,,,,,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Not Sent,false,false,true,false,,,false,,false,,FON Overpayment on Invoice Example,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002DpogyQAB,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8kZUAR,,000000623,a1Y4W000002r0boUAA,,0034W00002DpodlQAB,implementations@fonteva.com,Fonteva Implementations Community User,false,false,implementations@fonteva.com,,,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/apex/eventapi__router?attendee=a1W6A000001umX5UAI&event=a1Y6A000002a2ZGUAY,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Sent,false,false,false,true,2019-02-18T18:22:20.000+0000,,false,,false,Fonteva,Implementations Community User,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002DpodlQAB,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8kaUAB,,000000624,a1Y4W000002r0boUAA,,0034W00002DpodUQAR,abrown@mailinator.com,Anthony Brown,false,false,abrown@mailinator.com,,,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/apex/eventapi__router?attendee=a1W6A000001umX6UAI&event=a1Y6A000002a2ZGUAY,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Sent,false,false,false,true,2019-02-18T18:22:20.000+0000,,false,,false,Anthony,Brown,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002DpodUQAR,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8kbUAB,,000000625,a1Y4W000002r0boUAA,,0034W00002Dpoh7QAB,hazeldeegan@mailinator.com,Hazel Deegan,false,false,hazeldeegan@mailinator.com,,,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/apex/eventapi__router?attendee=a1W6A000001umX7UAI&event=a1Y6A000002a2ZGUAY,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Sent,false,false,false,true,2019-02-18T18:22:20.000+0000,,false,,false,Hazel,Deegan,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002Dpoh7QAB,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8kcUAB,,000000626,a1Y4W000002r0boUAA,,0034W00002DpogpQAB,1individual@mailinator.com,One Individual,false,false,1individual@mailinator.com,,,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/apex/eventapi__router?attendee=a1W6A000001umX8UAI&event=a1Y6A000002a2ZGUAY,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Sent,false,false,false,true,2019-02-18T18:22:20.000+0000,,false,,false,One,Individual,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002DpogpQAB,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8kdUAB,,000000627,a1Y4W000002r0boUAA,,0034W00002DpohBQAR,sm@mailinator.com,Sandeep Gupta,false,false,sgupta@mailinator.com,,,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/apex/eventapi__router?attendee=a1W6A000001umX9UAI&event=a1Y6A000002a2ZGUAY,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Sent,false,false,false,true,2019-02-18T18:22:20.000+0000,,false,,false,Sandeep,Manju,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002DpohBQAR,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8keUAB,,000000629,a1Y4W000002r0boUAA,,0034W00002DpohAQAR,mwinchester@maryspies.com,Mary Winchester,false,false,mwinchester@maryspies.com,,,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/apex/eventapi__router?attendee=a1W6A000001umXBUAY&event=a1Y6A000002a2ZGUAY,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Sent,false,false,false,true,2019-02-18T18:22:20.000+0000,,false,,false,Mary,Winchester,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002DpohAQAR,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8kfUAB,,000000630,a1Y4W000002r0boUAA,,0034W00002DpogtQAB,,"FON Adjust Invoice, Audit Trail",false,false,,,,,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Not Sent,false,false,true,false,,,false,,false,FON,"Adjust Invoice, Audit Trail",,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002DpogtQAB,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8kgUAB,,000000631,a1Y4W000002r0boUAA,,0034W00002DpodWQAR,mbyers@mailinator.com,Matthew Byers,false,false,mbyers@mailinator.com,,,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/apex/eventapi__router?attendee=a1W6A000001umXDUAY&event=a1Y6A000002a2ZGUAY,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Sent,false,false,false,true,2019-02-18T18:22:20.000+0000,,false,,false,Matthew,Byers,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002DpodWQAR,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8khUAB,,000000633,a1Y4W000002r0boUAA,,0034W00002Dpoh8QAB,dhasslehoff@familybusiness.com,Dean Winchester,false,false,dhasslehoff@familybusiness.com,,,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/apex/eventapi__router?attendee=a1W6A000001umXFUAY&event=a1Y6A000002a2ZGUAY,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Sent,false,false,false,true,2019-02-18T18:22:20.000+0000,,false,,false,Dean,Winchester,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002Dpoh8QAB,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8kiUAB,,000000634,a1Y4W000002r0boUAA,,0034W00002DpohCQAR,ca123@mailinator.com,Caroline Assignment,false,false,ca123@mailinator.com,,,https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/LightningMemberPortal/apex/eventapi__router?attendee=a1W6A000001umXGUAY&event=a1Y6A000002a2ZGUAY,,,false,Invited,a1j4W00000SEaFxQAL,0,false,Sent,false,false,false,true,2019-02-18T18:22:20.000+0000,,false,,false,Caroline,Assignment,,,,Press Conference - Invite Only (Community Event),,,,a1Y4W000002r0boUAA,,0034W00002DpohCQAR,,,,a1j4W00000SEaFxQAL,,
a1W4W00000Aq8gTUAR,,000001375,a1Y4W000002r0bpUAA,,0034W00002Dpog1QAB,dellahernandez@mailinator.com,Della Hernandez,false,false,dellahernandez@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Della,Hernandez,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002Dpog1QAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gUUAR,,000001376,a1Y4W000002r0bpUAA,,0034W00002Dpog2QAB,bmorgan@mailinator.com,Brant Morgan,false,false,bmorgan@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Brant,Morgan,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002Dpog2QAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gVUAR,,000001377,a1Y4W000002r0bpUAA,,0034W00002DpodtQAB,dontucker@mailinator.com,Don Tucker,false,false,dontucker@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Don,Tucker,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002DpodtQAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gWUAR,,000001378,a1Y4W000002r0bpUAA,,0034W00002Dpog3QAB,miltonpena@mailinator.com,Milton Pena,false,false,miltonpena@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Milton,Pena,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002Dpog3QAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gXUAR,,000001379,a1Y4W000002r0bpUAA,,0034W00002Dpog4QAB,mittiecastro@mailinator.com,Mittie Castro,false,false,mittiecastro@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Mittie,Castro,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002Dpog4QAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gYUAR,,000001380,a1Y4W000002r0bpUAA,,0034W00002Dpog5QAB,nellpowell@mailinator.com,Nell Powell,false,false,nellpowell@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Nell,Powell,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002Dpog5QAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gZUAR,,000001381,a1Y4W000002r0bpUAA,,0034W00002Dpog6QAB,janewatson@mailinator.com,Jane Watson,false,false,janewatson@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Jane,Watson,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002Dpog6QAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gaUAB,,000001382,a1Y4W000002r0bpUAA,,0034W00002Dpog7QAB,evanward@mailinator.com,Evan Ward,false,false,evanward@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Evan,Ward,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002Dpog7QAB,,,,a1j4W00000SEaFyQAL,,
a1W4W00000Aq8gbUAB,,000001383,a1Y4W000002r0bpUAA,,0034W00002DpocZQAR,lilylindsey@mailinator.com,Lily Lindsey,false,false,lilylindsey@mailinator.com,,,,,,false,Invited,a1j4W00000SEaFyQAL,0,false,Not Sent,false,false,true,false,,0,false,,false,Lily,Lindsey,,Report: Attendee Invitation List,,Fonteva Free Events Webinar,,,,a1Y4W000002r0bpUAA,,0034W00002DpocZQAR,,,,a1j4W00000SEaFyQAL,,
