LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,EmailBouncedReason,EmailBouncedDate,Jigsaw,IndividualId,PagesApi__Site__c,OrderApi__Annual_Engagement_Score__c,OrderApi__Assistant_Do_Not_Call__c,OrderApi__Assistant_Email_Opt_Out__c,OrderApi__Assistant_Email__c,OrderApi__Badges__c,OrderApi__Home_Do_Not_Call__c,OrderApi__Lifetime_Engagement_Score__c,OrderApi__Mobile_Do_Not_Call__c,OrderApi__Other_Do_Not_Call__c,OrderApi__Other_Email_Opt_Out__c,OrderApi__Other_Email__c,OrderApi__Outstanding_Credits__c,OrderApi__Personal_Email_Opt_Out__c,OrderApi__Personal_Email__c,OrderApi__Potential_Duplicate_Contacts__c,OrderApi__Preferred_Email_Type__c,OrderApi__Preferred_Phone_Type__c,OrderApi__Price_Rules_Usages__c,OrderApi__Sync_Address_Billing__c,OrderApi__Sync_Address_Shipping__c,OrderApi__Sync_Email__c,OrderApi__Sync_Phone__c,OrderApi__Work_Do_Not_Call__c,OrderApi__Work_Email_Opt_Out__c,OrderApi__Work_Email__c,OrderApi__Work_Phone__c,DonorApi__Active_Recurring_Gift__c,DonorApi__Auto_Calculate_Contact_Greetings__c,DonorApi__Auto_Calculate_Current_Ask_Amount__c,DonorApi__Current_Ask_Amount__c,DonorApi__Deceased__c,DonorApi__Default_Greeting_Type__c,DonorApi__Direct_Mail_Opt_Out__c,DonorApi__Do_Not_Solicit__c,DonorApi__First_Gift_Date__c,DonorApi__Formal_Greeting__c,DonorApi__Gift_Opportunities__c,DonorApi__Gifts_Outstanding__c,DonorApi__Gifts_Received__c,DonorApi__Include_in_Household_Greetings__c,DonorApi__Languages__c,DonorApi__Largest_Gift__c,DonorApi__Last_Gift_Amount__c,DonorApi__Last_Gift_Date__c,DonorApi__Personal_Greeting__c,DonorApi__Personal_Recognition_Name__c,DonorApi__Primary__c,DonorApi__Suffix__c,OrderApi__Privacy_Settings__c,PagesApi__Cookie_Usage_Accepted__c,OrderApi__Edit_Community_Company_Info__c,OrderApi__Preferred_Language__c,Errors,Id
Neal,Lucinda,,3368 Black Creek Rd,Muskegon,Michigan,49444,United States,,,,40 Macs Harbor Ct,Stratford,Connecticut,6615,United States,41.183934,-73.127315,Block,(975)-998-8026,,(975)-998-8026,,,,lucindaneal@mailinator.com,,,,,,,false,false,false,,,,,,25,false,false,,"FON-Annual Conference Attendee Badge,FON-Individual Member Badge,FON-Organizational Member Badge,FON-Volunteer Badge",false,145,false,false,false,,,false,lucindaneal@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSPYUA4"":1,""a1C1I000000DSPVUA4"":1,""a1C1I000000DSPSUA4"":1,""a1C1I000000DSQZUA4"":1,""a1C1I000000DSOYUA4"":1,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSPXUA4"":1}",false,false,false,false,false,false,lucindaneal@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxuIAD
Welch,Lloyd,,545 5th St,Bremerton,District of Columbia,98337,United States,,,,20544 US 23 N,Chillicothe,Ohio,45601,United States,39.452661,-82.971499,Block,(304)-563-5624,,(304)-563-5624,,,,lloydwelch@mailinator.com,Deputy General Manager,,,,,,false,false,false,,,,,,,false,false,,FON-Organizational Member Badge,false,,false,false,false,,700,false,lloydwelch@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSOQUA4"":1}",false,false,false,false,false,false,lloydwelch@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxvIAD
Erickson,Ola,,138 East 12300 South,Draper,Utah,84020,United States,,,,529 5th Ave,New York,New York,10017,United States,40.754429,-73.979683,Address,(856)-930-1241,,(856)-930-1241,,,,olaerickson@mailinator.com,Department Head,,,,,,false,false,false,,,,,,25,false,false,,"FON-Annual Conference Attendee Badge,FON-Organizational Member Badge",false,25,false,false,false,,,false,olaerickson@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSOsUAO"":1,""a1C1I000000DSOqUAO"":1,""a1C1I000000DSOmUAO"":1,""a1C1I000000DSOjUAO"":1,""a1C1I000000DSOfUAO"":1,""a1C1I000000DSOLUA4"":1,""a1C1I000000DSOhUAO"":1,""a1C1I000000DSOkUAO"":1,""a1C1I000000DSOoUAO"":1,""a1C1I000000DSOrUAO"":1}",false,false,true,true,false,false,olaerickson@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxwIAD
DiStaso,Alisa,,,,,,,,,,,,,,,,,,,,,,,,adistaso@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,adistaso@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSOdUAO"":1}",false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxxIAD
Wellington,Clifford,,,,,,,,,,,,,,,,,,,,,,,,welly@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,welly@mailinator.com,,Personal,Mobile,,false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxyIAD
Myers,Lisa,,,,,,,,,,,,,,,,,,,,,,,,lmyers@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,lmyers@mailinator.com,,Personal,Mobile,,false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzxzIAD
Goodman,Bob,Mr.,,,,,,,,,932 N Kenmore St,Arlington,Virginia,22201,United States,38.884071,-77.100456,Address,(703)-537-5428,,(703)-537-5428,,,,bgoodman@mailinator.com,,,,,,,false,false,false,,,,,,0,false,false,,,false,100,false,false,false,,,false,bgoodman@mailinator.com,,Personal,Mobile,"{""a1C6A000001Bn7dUAC"":2}",false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzy0IAD
Landsman,Kevin,,,,,,,,,,,,,,,,,,,,,,,,kevinlandsman@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,kevinlandsman@mailinator.com,,Personal,Mobile,,false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzy1IAD
Newman,Carol,,,,,,,,,,,,,,,,,,,,,,,,carolnew@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,carolnew@mailinator.com,,Personal,Mobile,,false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzy2IAD
Jacobs,Ivana,,,,,,,,,,,,,,,,,,,,,,,,ijacobs@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,ijacobs@mailinator.com,,Personal,Mobile,,false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzy3IAD
Harris,Trevor,,,,,,,,,,,,,,,,,,,,,,,,tharris@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,tharris@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQgUAO"":1}",false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzy4IAD
FON Receipts Contact,,,,,,,,,,,,,,,,,,,,,,,,,tabc@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,tabc@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQ6UAO"":1,""a1C1I000000DSQgUAO"":3,""a1C1I000000DSQCUA4"":1}",false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzy5IAD
Crook,Thomas,,,,,,,,,,,,,,,,,,,,,,,,tcrook@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,tcrook@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQMUA4"":1}",false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzy6IAD
Gurley,Todd,,,,,,,,,,,,,,,,,,,,,,,,tgurl@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,tgurl@mailinator.com,,Personal,Mobile,,false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzy7IAD
Lovely,Lola,,,,,,,,,,,,,,,,,,,,,,,,ll33@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,ll33@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQ6UAO"":1,""a1C1I000000DSQLUA4"":1}",false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzy8IAD
Parker,Lilly,,,,,,,,,,,,,,,,,,,,,,,,lpark99@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,lpark99@mailinator.com,,Personal,Mobile,,false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzy9IAD
Jones,Paul,,,,,,,,,,,,,,,,,,,,,,,,pj99@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,pj99@mailinator.com,,Personal,Mobile,,false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzyAIAT
Clintford,Clayton,,3110 10th street,Northeast,District of Columbia,20017,United States,,,,3110 10th street,Northeast,District of Columbia,20017,United States,38.928921,-76.992685,Address,(497)-707-9335,,(497)-707-9335,,,,claytonclintford@mailinator.com,,,,,,,false,false,false,,,,,,25,false,false,,"FON-Annual Conference Attendee Badge,FON-Organizational Member Badge",false,25,false,false,false,,,false,claytonclintford@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQUUA4"":2,""a1C1I000000DSPKUA4"":1,""a1C1I000000DSPCUA4"":1,""a1C1I000000DSOWUA4"":1,""a1C1I000000DSPGUA4"":1,""a1C1I000000DSPLUA4"":1,""a1C1I000000DSQEUA4"":1}",false,false,true,true,false,false,claytonclintford@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzyBIAT
Flannigan,Edna,,20544 US 23 N,Chillicothe,Ohio,45601,United States,,,,20544 US 23 N,Chillicothe,Ohio,45601,United States,39.452661,-82.971499,Block,(736)-683-4565,,(736)-683-4565,,,,ednaflannigan@mailinator.com,,,,,,,false,false,false,,,,,,25,false,false,,FON-Annual Conference Attendee Badge,false,25,false,false,false,,,false,ednaflannigan@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQXUA4"":2,""a1C1I000000DSPMUA4"":1,""a1C1I000000DSPHUA4"":1,""a1C1I000000DSPCUA4"":1,""a1C1I000000DSPAUA4"":1,""a1C1I000000DSOWUA4"":1,""a1C1I000000DSPBUA4"":1,""a1C1I000000DSPEUA4"":1,""a1C1I000000DSPJUA4"":1,""a1C1I000000DSPNUA4"":1,""a1C1I000000DSQFUA4"":1}",false,false,false,false,false,false,ednaflannigan@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzyCIAT
Flannigan,Sam,,406 West Ave,Harrisonburg,Virginia,22801,United States,,,,406 West Ave,Harrisonburg,Virginia,22801,United States,38.436086,-78.898927,Address,(636)-474-8644,,(636)-474-8644,,,,samflannigan@mailinator.com,,,,,,,false,false,false,,,,,,0,false,false,,,false,0,false,false,false,,,false,samflannigan@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQGUA4"":1,""a1C1I000000DSQXUA4"":2,""a1C1I000000DSOOUA4"":1}",false,false,false,false,false,false,samflannigan@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzyDIAT
Flannigan,Clara,,1401 W Green St,Urbana,Illinois,61801,United States,,,,1401 W Green St,Urbana,Illinois,61801,United States,40.110167,-88.227839,Block,(776)-351-3689,,(776)-351-3689,,,,claraflannigan@mailinator.com,,,,,,,false,false,false,,,,,,25,false,false,,FON-Annual Conference Attendee Badge,false,25,false,false,false,,,false,claraflannigan@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSPfUAO"":1,""a1C1I000000DSPbUAO"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPRUA4"":1,""a1C1I000000DSQUUA4"":2,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSPYUA4"":1,""a1C1I000000DSPaUAO"":1,""a1C1I000000DSPcUAO"":1,""a1C1I000000DSQEUA4"":1}",false,false,true,true,false,false,claraflannigan@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzyEIAT
Brown,Rachel,,353 Baronne St,New Orleans,Louisiana,70112,United States,,,,353 Baronne St,New Orleans,Louisiana,70112,United States,29.951288,-90.073067,Address,(391)-545-5223,,(391)-545-5223,,,,rachelbrown@mailinator.com,,,,,,,false,false,false,,,,,,25,false,false,,FON-Annual Conference Attendee Badge,false,25,false,false,false,,,false,rachelbrown@mailinator.com,,Personal,Mobile,"{""a1C1I000000DSQNUA4"":1,""a1C1I000000DSPJUA4"":1,""a1C1I000000DSPGUA4"":1,""a1C1I000000DSPEUA4"":1,""a1C1I000000DSPCUA4"":1,""a1C1I000000DSOVUA4"":1,""a1C1I000000DSPDUA4"":1,""a1C1I000000DSPFUA4"":1,""a1C1I000000DSPIUA4"":1,""a1C1I000000DSPPUA4"":1,""a1C1I000000DSQXUA4"":2}",false,false,false,false,false,false,rachelbrown@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzyFIAT
Brown,Etta,,7868 E Via Marina,Scottsdale,Arizona,85258,United States,,,,7868 E Via Marina,Scottsdale,Arizona,85258,United States,33.55317,-111.911306,Address,(448)-252-1985,,(448)-252-1985,,,,ettabrown@mailinator.com,,,,,,,false,false,false,,,,,,0,false,false,,FON-Individual Member Badge,false,100,false,false,false,,,false,ettabrown@mailinator.com,,Personal,Mobile,"{""a1C6A000001Bn7aUAC"":2,""a1C6A000001Bn7ZUAS"":2,""a1C1I000000DSQZUA4"":1,""a1C1I000000DSQIUA4"":1,""a1C1I000000DSOZUA4"":1,""a1C6A000001D4zMUAS"":3}",false,false,false,false,false,false,ettabrown@mailinator.com,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzyGIAT
Andrews,Tom,,,,,,,,,,,,,,,,,,,,,,,,tandrews@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,tandrews@mailinator.com,,Personal,Mobile,,false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzyHIAT
Yamaguchi,Martin,,,,,,,,,,,,,,,,,,,,,,,,myamaguchi@mailinator.com,,,,,,,false,false,false,,,,,,,false,false,,,false,,false,false,false,,,false,myamaguchi@mailinator.com,,Personal,Mobile,,false,false,false,false,false,false,,,false,false,false,,false,Personal Greeting,false,false,,,0,0,0,false,,,0,,,,false,,private,false,false,,,003R000001XMzyIIAT
