Name,OrderApi__Adjustment_Account__c,OrderApi__Assignment_Badge_Types_CSV__c,OrderApi__Assignment_SObject__c,OrderApi__Assignments_Display_Label__c,OrderApi__Business_Group__c,OrderApi__Cost__c,OrderApi__Defer_Revenue__c,OrderApi__Deferred_Revenue_Account__c,OrderApi__Deferred_Revenue_Term__c,OrderApi__Description__c,OrderApi__Disable_Price_Rules__c,OrderApi__Disable_Scheduling__c,OrderApi__Discount_Account__c,OrderApi__Display_Name__c,OrderApi__Download_File_Location__c,OrderApi__Download_File_Name__c,OrderApi__Download_File_Type__c,OrderApi__EAN__c,OrderApi__Enable_Access_Permissions__c,OrderApi__Enable_Assignments__c,OrderApi__Enable_Shipping__c,OrderApi__Features_List__c,OrderApi__Flex_Day_of_the_Month__c,OrderApi__Form__c,OrderApi__ISBN__c,OrderApi__Image_Path__c,OrderApi__Income_Account__c,OrderApi__Interview_Form_Display_Label__c,OrderApi__Is_Active__c,OrderApi__Is_Contribution__c,OrderApi__Is_Default_Shipping_Rate__c,OrderApi__Is_Default_Tax_Rate__c,OrderApi__Is_Downloadable__c,OrderApi__Is_Event__c,OrderApi__Is_Inventoried__c,OrderApi__Is_Publication__c,OrderApi__Is_Service__c,OrderApi__Is_Shipping_Rate__c,OrderApi__Is_Subscription__c,OrderApi__Is_Tax_Deductible__c,OrderApi__Is_Tax__c,OrderApi__Is_Taxable__c,OrderApi__Item_Class__c,OrderApi__Item_Weight_UOM__c,OrderApi__Item_Weight__c,OrderApi__Line_Description__c,OrderApi__Maximum_Number_of_Assignments__c,OrderApi__Maximum_Number_of_Downloads__c,OrderApi__Maximum_Value__c,OrderApi__Maximum_Weight__c,OrderApi__Minimum_Value__c,OrderApi__Minimum_Weight__c,OrderApi__Not_For_Individual_Sale__c,OrderApi__Price__c,OrderApi__Refund_Account__c,OrderApi__Require_Assignments__c,OrderApi__Require_Shipping__c,OrderApi__Restrict_Number_of_Assignments__c,OrderApi__Restrict_Number_of_Downloads__c,OrderApi__Revenue_Recognition_Date__c,OrderApi__Revenue_Recognition_Rule__c,OrderApi__Revenue_Recognition_Term_Rule__c,OrderApi__SKU__c,OrderApi__Shipping_Method__c,OrderApi__Shipping_Region__c,OrderApi__Subscription_Plan_Display_Label__c,OrderApi__Tax_Class__c,OrderApi__Tax_Locale__c,OrderApi__Tax_Percent__c,OrderApi__UPC__c,EventApi__Event__c,EventApi__Sponsor_Package__c,EventApi__Ticket_Type__c,ProgramApi__Is_Program_Fee__c,ProgramApi__Is_Program_Maintenance_Fee__c,ProgramApi__Program__c,OrderApi__Require_PreAuthorized_Payment__c,OrderApi__AR_Account__c,OrderApi__Invoice_Payment_Priority__c,OrderApi__Add_to_Cart_Button_Label_Override__c,OrderApi__Add_to_Cart_Button_Override__c,OrderApi__Assignment_Instructions__c,OrderApi__Enable_Cancellation_Request__c,OrderApi__Enable_MidTerm_Changes__c,OrderApi__Inventory_Message__c,OrderApi__Inventory__c,OrderApi__Parent_Item__c,OrderApi__Renewal_Form__c,OrderApi__eStore_Description__c,OrderApi__eStore_Short_Description__c,Errors,Id
Advanced Discussion,a14R0000004sdRrIAI,,EventApi__Attendee__c,,a0sR0000004M9vaIAC,0,false,,,<p>The Advanced Discussion is where industry leaders come together and brainstorm new ideas.</p>,false,false,a14R0000004sdQoIAI,Advanced Discussion,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,a19R0000003TaBGIA0,,,,,,,,,,false,25,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,<p>The Advanced Discussion is where industry leaders come together and brainstorm new ideas.</p>,,,a1BR0000005WlBJMA0
Beginner Workshop,a14R0000004sdRrIAI,,EventApi__Attendee__c,,a0sR0000004M9vaIAC,0,false,,,<p>New around here? Check out our Beginner Workshop to get a feel for what we are all about and meet more people like you!</p>,false,false,a14R0000004sdQoIAI,Beginner Workshop,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,a19R0000003TaBGIA0,,,,,,,,,,false,25,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,<p>New around here? Check out our Beginner Workshop to get a feel for what we are all about and meet more people like you!</p>,,,a1BR0000005WlBKMA0
Conference Check-In,a14R0000004sdRrIAI,,EventApi__Attendee__c,,a0sR0000004M9vaIAC,0,false,,,<p>Please check-in when you arrive at the symposium.</p>,false,false,a14R0000004sdQoIAI,Conference Check-In,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,a19R0000003TaBGIA0,,,,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,<p>Please check-in when you arrive at the symposium.</p>,,,a1BR0000005WlBLMA0
Keynote Speech,a14R0000004sdRrIAI,,EventApi__Attendee__c,,a0sR0000004M9vaIAC,0,false,,,"<p>Attend our Keynote Speech for inspiration from Bob Kelley, Vice President of ABC Corporation.</p>",false,false,a14R0000004sdQoIAI,Keynote Speech,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,a19R0000003TaBGIA0,,,,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,"<p>Attend our Keynote Speech for inspiration from Bob Kelley, Vice President of ABC Corporation.</p>",,,a1BR0000005WlBMMA0
Leadership Workshop,a14R0000004sdRrIAI,,EventApi__Attendee__c,,a0sR0000004M9vaIAC,0,false,,,<p>Attend this session to sharpen your leadership skills.</p>,false,false,a14R0000004sdQoIAI,Leadership Workshop,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,a19R0000003TaBGIA0,,,,,,,,,,false,25,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,<p>Attend this session to sharpen your leadership skills.</p>,,,a1BR0000005WlBNMA0
Luncheon,a14R0000004sdRrIAI,,EventApi__Attendee__c,,a0sR0000004M9vaIAC,0,false,,,<p>Join us for a complimentary luncheon on Wednesday. This is a great networking opportunity for both new and returning members.</p>,false,false,a14R0000004sdQoIAI,Luncheon,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,a19R0000003TaBGIA0,,,,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,<p>Join us for a complimentary luncheon on Wednesday. This is a great networking opportunity for both new and returning members.</p>,,,a1BR0000005WlBOMA0
Round Table Discussion I,a14R0000004sdRrIAI,,EventApi__Attendee__c,,a0sR0000004M9vaIAC,0,false,,,<p>Join us for a round table discussion on the latest trends and topics in our field.</p>,false,false,a14R0000004sdQoIAI,Round Table Discussion I,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,a19R0000003TaBGIA0,,,,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,<p>Join us for a round table discussion on the latest trends and topics in our field.</p>,,,a1BR0000005WlBPMA0
Round Table Discussion II,a14R0000004sdRrIAI,,EventApi__Attendee__c,,a0sR0000004M9vaIAC,0,false,,,<p>Join the Association Leaders for a discussion on exciting developments and roadmap of the organization.</p>,false,false,a14R0000004sdQoIAI,Round Table Discussion II,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,false,false,false,false,true,false,false,false,false,false,false,false,false,a19R0000003TaBGIA0,,,,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,<p>Join the Association Leaders for a discussion on exciting developments and roadmap of the organization.</p>,,,a1BR0000005WlBQMA0
FON-College of Nursing Academic Enrichment,a14R0000004sdRrIAI,,,,a0sR0000004M9vaIAC,0,false,,,College of Nursing Academic Enrichment,false,false,a14R0000004sdQvIAI,College of Nursing Academic Enrichment,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,true,false,false,false,false,false,false,false,false,false,true,false,false,a19R0000003TaCJIA0,,,College of Nursing Academic Enrichment,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,College of Nursing Academic Enrichment,,,a1BR0000005WlBRMA0
FON-College of Nursing and Health Innovation Investment Fund,a14R0000004sdRrIAI,,,,a0sR0000004M9vaIAC,0,false,,,College of Nursing and Health Innovation Investment Fund,false,false,a14R0000004sdQvIAI,College of Nursing and Health Innovation Investment Fund,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,true,false,false,false,false,false,false,false,false,false,true,false,false,a19R0000003TaCJIA0,,,College of Nursing and Health Innovation Investment Fund,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,College of Nursing and Health Innovation Investment Fund,,,a1BR0000005WlBSMA0
FON-Mary Killeen Visiting Scholar in Educational Excellence,a14R0000004sdRrIAI,,,,a0sR0000004M9vaIAC,0,false,,,Mary Killeen Visiting Scholar in Educational Excellence,false,false,a14R0000004sdQvIAI,Mary Killeen Visiting Scholar in Educational Excellence,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,true,false,false,false,false,false,false,false,false,false,true,false,false,a19R0000003TaCJIA0,,,Mary Killeen Visiting Scholar in Educational Excellence,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,Mary Killeen Visiting Scholar in Educational Excellence,,,a1BR0000005WlBTMA0
FON-Memorial Scholarship,a14R0000004sdRrIAI,,,,a0sR0000004M9vaIAC,0,false,,,Memorial Scholarship,true,false,a14R0000004sdQvIAI,Memorial Scholarship,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,true,false,false,false,false,false,false,false,false,false,true,false,false,a19R0000003TaCJIA0,,,Memorial Scholarship,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,Memorial Scholarship,,,a1BR0000005WlBUMA0
FON-College of Health Solutions Investment Fund,a14R0000004sdRrIAI,,,,a0sR0000004M9vaIAC,0,false,,,College of Health Solutions Investment Fund,false,false,a14R0000004sdQvIAI,College of Health Solutions Investment Fund,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,true,false,false,false,false,false,false,false,false,false,true,false,false,a19R0000003TaCJIA0,,,College of Health Solutions Investment Fund,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,College of Health Solutions Investment Fund,,,a1BR0000005WlBVMA0
FON-Biomedical Informatics,a14R0000004sdRrIAI,,,,a0sR0000004M9vaIAC,0,false,,,Biomedical Informatics,false,false,a14R0000004sdQvIAI,Biomedical Informatics,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,true,false,false,false,false,false,false,false,false,false,true,false,false,a19R0000003TaCJIA0,,,Biomedical Informatics,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,Biomedical Informatics,,,a1BR0000005WlBWMA0
FON-Doctor of Behavioral Health General Investment Fund,a14R0000004sdRrIAI,,,,a0sR0000004M9vaIAC,0,false,,,Doctor of Behavioral Health General Investment Fund,false,false,a14R0000004sdQvIAI,Doctor of Behavioral Health General Investment Fund,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,true,false,false,false,false,false,false,false,false,false,true,false,false,a19R0000003TaCJIA0,,,Doctor of Behavioral Health General Investment Fund,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,Doctor of Behavioral Health General Investment Fund,,,a1BR0000005WlBXMA0
FON-Letterwinners,a14R0000004sdRrIAI,,,,a0sR0000004M9vaIAC,0,false,,,Letterwinners,false,false,a14R0000004sdQvIAI,Letterwinners,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,true,false,false,false,false,false,false,false,false,false,true,false,false,a19R0000003TaCJIA0,,,Letterwinners,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,Letterwinners,,,a1BR0000005WlBYMA0
FON-Game Changer Legacy/Scholar Baller,a14R0000004sdRrIAI,,,,a0sR0000004M9vaIAC,0,false,,,Game Changer Legacy/Scholar Baller,false,false,a14R0000004sdQvIAI,Game Changer Legacy/Scholar Baller,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,true,false,false,false,false,false,false,false,false,false,true,false,false,a19R0000003TaCJIA0,,,Game Changer Legacy/Scholar Baller,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,Game Changer Legacy/Scholar Baller,,,a1BR0000005WlBZMA0
FON-Sid P. Bacon Memorial Research Scholarship Endowment,a14R0000004sdRrIAI,,,,a0sR0000004M9vaIAC,0,false,,,Sid P. Bacon Memorial Research Scholarship Endowment,false,false,a14R0000004sdQvIAI,Sid P. Bacon Memorial Research Scholarship Endowment,,,,,false,false,false,,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,a14R0000004sdQuIAI,,true,true,false,false,false,false,false,false,false,false,false,true,false,false,a19R0000003TaCJIA0,,,Sid P. Bacon Memorial Research Scholarship Endowment,,,,,,,false,0,a14R0000004sdQuIAI,false,false,false,false,,,,,,,,,,,,,,,false,false,,false,a14R0000004sdQpIAI,,,,,false,false,,,false,,Sid P. Bacon Memorial Research Scholarship Endowment,,,a1BR0000005WlBaMAK
