Name,EventApi__Item__c,EventApi__Adjustment_Account__c,EventApi__Allow_Conflicts__c,EventApi__Assignments_Display_Label__c,EventApi__Business_Group__c,EventApi__Capacity__c,EventApi__Cost__c,EventApi__Defer_Revenue__c,EventApi__Deferred_Revenue_Account__c,EventApi__Deferred_Revenue_Term__c,EventApi__Description__c,EventApi__Disable_Registration__c,EventApi__Discount_Account__c,EventApi__Display_Name__c,EventApi__Enable_Access_Permissions__c,EventApi__Enable_Assignments__c,EventApi__Enable_Waitlist__c,EventApi__End_Date_Time__c,EventApi__End_Date__c,EventApi__Event_Category__c,EventApi__Event__c,EventApi__Flex_Day_of_the_Month__c,EventApi__Form__c,EventApi__Image_Path__c,EventApi__Image_URL__c,EventApi__Income_Account__c,EventApi__Interview_Form_Display_Label__c,EventApi__Is_Active__c,EventApi__Is_Automatically_Added__c,EventApi__Is_Contribution__c,EventApi__Is_Tax_Deductible__c,EventApi__Is_Taxable__c,EventApi__Item_Class__c,EventApi__Line_Description__c,EventApi__Maximum_Number_of_Assignments__c,EventApi__Price__c,EventApi__Quantity_Available__c,EventApi__Quantity_Sold__c,EventApi__Refund_Account__c,EventApi__Require_Assignments__c,EventApi__Restrict_Number_of_Assignments__c,EventApi__Revenue_Recognition_Date__c,EventApi__Revenue_Recognition_Rule__c,EventApi__Revenue_Recognition_Term_Rule__c,EventApi__Room__c,EventApi__SKU__c,EventApi__Session_End_Time__c,EventApi__Session_Start_Time__c,EventApi__Start_Date_Time__c,EventApi__Start_Date__c,EventApi__Tax_Class__c,ROEApi__Event_Display_Name__c,EventApi__AR_Account__c,EventApi__Hide_During_Registration__c,EventApi__Invoice_Payment_Priority__c,EventApi__Required_for_Registration__c,Errors,Id
Conferece Check In,a1BR0000005WlDYMA0,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>Please check in when you arrive at the symposium.</p>,true,a14R0000004sdQoIAI,Conference Check In,false,false,false,2019-12-07T20:00:00.000+0000,2019-12-07,a1gR0000002ZuCWIA0,a1mR0000001R1zfIAC,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaCVIA0,,,,7000,0,a14R0000004sdQuIAI,false,false,,,,,,12:00 PM,9:00 AM,2019-12-07T17:00:00.000+0000,2019-12-07,,2019 Annual Symposium (Lightning Event),a14R0000004sdQpIAI,false,,false,,a1rR0000000znSqIAI
Keynote Speech,a1BR0000005WlDZMA0,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,"<p>Welcome to the Conference. Attend our Keynote Speech for inspiration from Gerald Frank, Vice President of ABC Corporation.</p>",false,a14R0000004sdQoIAI,Keynote Speech,false,false,false,2019-12-07T20:00:00.000+0000,2019-12-07,a1gR0000002ZuCWIA0,a1mR0000001R1zfIAC,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaCVIA0,,,,7000,2,a14R0000004sdQuIAI,false,false,,,,,,12:00 PM,11:00 AM,2019-12-07T19:00:00.000+0000,2019-12-07,,2019 Annual Symposium (Lightning Event),a14R0000004sdQpIAI,false,,false,,a1rR0000000znSrIAI
Welcome Breakfast,a1BR0000005WlDaMAK,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>Welcome to the Annual Symposium. Join us for a continental breakfast on the second floor.</p>,true,a14R0000004sdQoIAI,Welcome Breakfast,false,false,false,2019-12-07T19:00:00.000+0000,2019-12-07,a1gR0000002ZuCWIA0,a1mR0000001R1zfIAC,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaCVIA0,,,,7000,0,a14R0000004sdQuIAI,false,false,,,,,,11:00 AM,10:00 AM,2019-12-07T18:00:00.000+0000,2019-12-07,,2019 Annual Symposium,a14R0000004sdQpIAI,false,,false,,a1rR0000000znSsIAI
Round Table Discussion I,a1BR0000005WlDbMAK,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>Join us for a round table discussion on the latest trends and topics in our field.</p>,false,a14R0000004sdQoIAI,Round Table Discussion I,false,false,true,2019-12-07T23:30:00.000+0000,2019-12-07,a1gR0000002ZuCWIA0,a1mR0000001R1zfIAC,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaCVIA0,,,,1000,2,a14R0000004sdQuIAI,false,false,,,,,,3:30 PM,2:00 PM,2019-12-07T22:00:00.000+0000,2019-12-07,,2019 Annual Symposium (Lightning Event),a14R0000004sdQpIAI,false,,false,,a1rR0000000znStIAI
Leadership Workshop,a1BR0000005WlDWMA0,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>Attend this session to sharpen your leadership skills.</p>,false,a14R0000004sdQoIAI,Leadership Workshop,false,false,true,2019-12-08T01:00:00.000+0000,2019-12-07,a1gR0000002ZuCWIA0,a1mR0000001R1zfIAC,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaCVIA0,,,25,4000,2,a14R0000004sdQuIAI,false,false,,,,,,5:00 PM,4:00 PM,2019-12-08T00:00:00.000+0000,2019-12-07,,2019 Annual Symposium (Lightning Event),a14R0000004sdQpIAI,false,,false,,a1rR0000000znSuIAI
Beginner Workshop,a1BR0000005WlE5MAK,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>New around here? Check out our Beginner Workshop to get a feel for what we are all about and meet more people like you!</p>,false,a14R0000004sdQoIAI,Beginner Workshop,false,false,true,2019-12-08T19:00:00.000+0000,2019-12-08,a1gR0000002ZuCWIA0,a1mR0000001R1zfIAC,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaCVIA0,,,25,5000,0,a14R0000004sdQuIAI,false,false,,,,,,11:00 AM,10:00 AM,2019-12-08T18:00:00.000+0000,2019-12-08,,2019 Annual Symposium,a14R0000004sdQpIAI,false,,false,,a1rR0000000znSvIAI
Advanced Discussion,a1BR0000005WlE6MAK,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>The Advanced Discussion is where industry leaders come together and brainstorm new ideas.</p>,false,a14R0000004sdQoIAI,Advanced Discussion,false,false,true,2019-12-08T21:00:00.000+0000,2019-12-08,a1gR0000002ZuCWIA0,a1mR0000001R1zfIAC,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaCVIA0,,,25,5000,2,a14R0000004sdQuIAI,false,false,,,,,,1:00 PM,11:00 AM,2019-12-08T19:00:00.000+0000,2019-12-08,,2019 Annual Symposium (Lightning Event),a14R0000004sdQpIAI,false,,false,,a1rR0000000znSwIAI
Leadership Workshop,a1BR0000005WlBGMA0,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>Attend this session to sharpen your leadership skills.</p>,false,a14R0000004sdQoIAI,Leadership Workshop,false,false,true,2020-07-27T22:00:00.000+0000,2020-07-27,a1gR0000002ZuCWIA0,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaAmIAK,,,25,4000,0,a14R0000004sdQuIAI,false,false,,,,,,5:00 PM,4:00 PM,2020-07-27T21:00:00.000+0000,2020-07-27,,test1,a14R0000004sdQpIAI,false,,false,,a1rR0000000znSxIAI
Luncheon,a1BR0000005WlBHMA0,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>Join us for a complimentary luncheon on Wednesday. This is a great networking opportunity for both new and returning members.</p>,false,a14R0000004sdQoIAI,Luncheon,false,false,false,2020-07-28T18:15:00.000+0000,2020-07-28,a1gR0000002ZuCWIA0,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaAmIAK,,,,7000,0,a14R0000004sdQuIAI,false,false,,,,,,1:15 PM,12:00 PM,2020-07-28T17:00:00.000+0000,2020-07-28,,test1,a14R0000004sdQpIAI,false,,false,,a1rR0000000znSyIAI
Round Table Discussion I,a1BR0000005WlBnMAK,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>Join us for a round table discussion on the latest trends and topics in our field.</p>,false,a14R0000004sdQoIAI,Round Table Discussion I,false,false,true,2020-07-27T20:30:00.000+0000,2020-07-27,a1gR0000002ZuCWIA0,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaAmIAK,,,,1000,0,a14R0000004sdQuIAI,false,false,,,,,,3:30 PM,2:00 PM,2020-07-27T19:00:00.000+0000,2020-07-27,,test1,a14R0000004sdQpIAI,false,,false,,a1rR0000000znSzIAI
Round Table Discussion II,a1BR0000005WlBoMAK,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>Join the Association Leaders for a discussion on exciting developments and roadmap of the organization.</p>,false,a14R0000004sdQoIAI,Round Table Discussion II,false,false,true,2020-07-28T21:15:00.000+0000,2020-07-28,a1gR0000002ZuCWIA0,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaAmIAK,,,,4000,0,a14R0000004sdQuIAI,false,false,,,,,,4:15 PM,3:00 PM,2020-07-28T20:00:00.000+0000,2020-07-28,,test1,a14R0000004sdQpIAI,false,,false,,a1rR0000000znT0IAI
Welcome Breakfast,a1BR0000005WlBpMAK,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>Welcome to the Annual Symposium. Join us for a continental breakfast on the second floor.</p>,true,a14R0000004sdQoIAI,Welcome Breakfast,false,false,false,2020-07-27T16:00:00.000+0000,2020-07-27,a1gR0000002ZuCWIA0,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaAmIAK,,,,7000,0,a14R0000004sdQuIAI,false,false,,,,,,11:00 AM,10:00 AM,2020-07-27T15:00:00.000+0000,2020-07-27,,test1,a14R0000004sdQpIAI,false,,false,,a1rR0000000znT1IAI
Advanced Discussion,a1BR0000005WlBtMAK,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>The Advanced Discussion is where industry leaders come together and brainstorm new ideas.</p>,false,a14R0000004sdQoIAI,Advanced Discussion,false,false,true,2020-08-01T18:00:00.000+0000,2020-08-01,a1gR0000002ZuCWIA0,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaApIAK,,,25,5000,0,a14R0000004sdQuIAI,false,false,,,,,,1:00 PM,11:00 AM,2020-08-01T16:00:00.000+0000,2020-08-01,,test2,a14R0000004sdQpIAI,false,,false,,a1rR0000000znT2IAI
Beginner Workshop,a1BR0000005WlBuMAK,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>New around here? Check out our Beginner Workshop to get a feel for what we are all about and meet more people like you!</p>,false,a14R0000004sdQoIAI,Beginner Workshop,false,false,true,2020-08-01T16:00:00.000+0000,2020-08-01,a1gR0000002ZuCWIA0,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaApIAK,,,25,5000,0,a14R0000004sdQuIAI,false,false,,,,,,11:00 AM,10:00 AM,2020-08-01T15:00:00.000+0000,2020-08-01,,test2,a14R0000004sdQpIAI,false,,false,,a1rR0000000znT3IAI
Conference Check-In,a1BR0000005WlBvMAK,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>Please check-in when you arrive at the symposium.</p>,true,a14R0000004sdQoIAI,Conference Check-In,false,false,false,2020-07-31T17:00:00.000+0000,2020-07-31,a1gR0000002ZuCWIA0,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaApIAK,,,,7000,0,a14R0000004sdQuIAI,false,false,,,,,,12:00 PM,9:00 AM,2020-07-31T14:00:00.000+0000,2020-07-31,,test2,a14R0000004sdQpIAI,false,,false,,a1rR0000000znT4IAI
Keynote Speech,a1BR0000005WlBwMAK,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,"<p>Attend our Keynote Speech for inspiration from Bob Kelley, Vice President of ABC Corporation.</p>",false,a14R0000004sdQoIAI,Keynote Speech,false,false,false,2020-07-31T17:00:00.000+0000,2020-07-31,a1gR0000002ZuCWIA0,,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaApIAK,,,,7000,0,a14R0000004sdQuIAI,false,false,,,,,,12:00 PM,11:00 AM,2020-07-31T16:00:00.000+0000,2020-07-31,,test2,a14R0000004sdQpIAI,false,,false,,a1rR0000000znT5IAI
Luncheon,a1BR0000005WlE7MAK,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>Join us for a complimentary luncheon on Wednesday. This is a great networking opportunity for both new and returning members.</p>,false,a14R0000004sdQoIAI,Luncheon,false,false,false,2019-12-08T21:15:00.000+0000,2019-12-08,a1gR0000002ZuCWIA0,a1mR0000001R1zfIAC,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaCVIA0,,,,7000,0,a14R0000004sdQuIAI,false,false,,,,,,1:15 PM,12:00 PM,2019-12-08T20:00:00.000+0000,2019-12-08,,2019 Annual Symposium,a14R0000004sdQpIAI,false,,false,,a1rR0000000znT6IAI
Round Table Discussion II,a1BR0000005WlE8MAK,a14R0000004sdRrIAI,true,,a0sR0000004M9vaIAC,0,,false,,,<p>Join the Association Leaders for a discussion on exciting developments and roadmap of the organization.</p>,false,a14R0000004sdQoIAI,Round Table Discussion II,false,false,true,2019-12-09T00:15:00.000+0000,2019-12-08,a1gR0000002ZuCWIA0,a1mR0000001R1zfIAC,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQuIAI,,false,false,false,false,false,a19R0000003TaCVIA0,,,,4000,2,a14R0000004sdQuIAI,false,false,,,,,,4:15 PM,3:00 PM,2019-12-08T23:00:00.000+0000,2019-12-08,,2019 Annual Symposium (Lightning Event),a14R0000004sdQpIAI,false,,false,,a1rR0000000znT7IAI
Conference Check In,a1BR0000005WlFKMA0,a14R0000004sdRrIAI,false,,a0sR0000004M9vaIAC,0,,false,,,,true,a14R0000004sdQoIAI,Conference Check In,false,false,false,2019-10-05T00:30:00.000+0000,2019-10-04,a1gR0000002ZuCWIA0,a1mR0000001R1zcIAC,,,https://s3.us-east-1.amazonaws.com/fonteva-customer-media/00D1U000000FLVyUAO/WcRwRzNr_placeholder_svg,https://package-assets.s3.amazonaws.com/master/emerald/img/placeholders/item.png,a14R0000004sdQoIAI,,true,false,false,false,false,a19R0000003TaCpIAK,,,,100,0,a14R0000004sdQuIAI,false,false,,,,,,5:30 PM,4:00 PM,2019-10-04T23:00:00.000+0000,2019-10-04,,Annual Meeting,a14R0000004sdQpIAI,true,,false,,a1rR0000000znT8IAI
