Id,IsDeleted,Name,External_Id__c,CreatedDate,LastModifiedDate,SystemModstamp,EventApi__Account__c,EventApi__Create_Contacts__c,EventApi__Create_Standing_Sales_Order__c,EventApi__Description__c,EventApi__Display_Registered_Members__c,EventApi__Enable_Access_Permissions__c,EventApi__Event__c,EventApi__Group_Logo_URL__c,EventApi__Invitation_Email_Body__c,EventApi__Invoice_Date__c,EventApi__Limit_Registrations__c,EventApi__Payment_Method__c,EventApi__Payment_Status__c,EventApi__Payment_Terms__c,EventApi__Payment_Type__c,EventApi__Posting_Entity__c,EventApi__Primary_Contact__c,EventApi__Register_Site_Url__c,EventApi__Registered_Attendees__c,EventApi__Registration_Code__c,EventApi__Registration_Instructions__c,EventApi__Registration_Limit__c,EventApi__Registration_Page_Header__c,LTE__Invited_Attendee__c,LastViewedDate,LastReferencedDate,EventApi__Account__r.External_Id__c,EventApi__Event__r.Name,EventApi__Payment_Method__r.External_Id__c,EventApi__Payment_Terms__r.External_Id__c,EventApi__Primary_Contact__r.External_Id__c,LTE__Invited_Attendee__r.External_Id__c
a1Z4W000029DFQWUA4,false,Diego Alzugaray's Group,11,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzVQAQ,false,false,,false,false,a1Y4W000002bRxvUAE,,,,false,,,,Invoice,,0034W00002AU8ThQAL,,1,0057,,,,,,,67,Fonteva Free Events Webinar,,,62,
a1Z4W000029DFQXUA4,false,Bob Kelley's Group,12,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzSQAQ,false,false,,false,false,a1Y4W000002bRxwUAE,,,,false,,,,Invoice,,0034W00002AU8T6QAL,,2,0058,,,,,,,87,FON-Annual Symposium 2020 (Lightning Event),,,38,
a1Z4W000029DFQYUA4,false,Will Brown's Group,13,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzVQAQ,false,false,,false,false,a1Y4W000002bRxwUAE,,,,false,,,,Invoice,,0034W00002AU8TrQAL,,1,0059,,,,,,,67,FON-Annual Symposium 2020 (Lightning Event),,,75,
a1Z4W000029DFQZUA4,false,Caroline Qureshi's Group,14,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzSQAQ,false,false,,false,false,a1Y4W000002bRxsUAE,,,,false,,,,Invoice,,0034W00002AU8S9QAL,,1,0061,,,,,,,87,FON-Annual Meeting (Community Event),,,58,
a1Z4W000029DFQaUAO,false,test test's Group,15,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzVQAQ,false,false,,false,false,a1Y4W000002bRxwUAE,,,,false,,,,Invoice,,0034W00002AU8TuQAL,,0,0062,,,,,,,67,FON-Annual Symposium 2020 (Lightning Event),,,78,
a1Z4W000029DFQbUAO,false,Jim Nugget's Group,16,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzTQAQ,false,false,,false,false,a1Y4W000002bRxwUAE,,,,false,,,,Invoice,,0034W00002AU8RzQAL,,1,0070,,,,,,,82,FON-Annual Symposium 2020 (Lightning Event),,,246,
a1Z4W000029DFQwUAO,false,Julie Smith's Group,17,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxyUAE,,,,false,,,,Invoice,,0034W00002AU8W8QAL,,0,0024,,,,,,,,FON-Annual Conference (Lightning Event),,,20,
a1Z4W000029DFQcUAO,false,Jenifer Alonzo's Group,18,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzaQAA,false,false,,false,false,a1Y4W000002bRxwUAE,,,,false,,,,Invoice,,0034W00002AU8SAQA1,,1,0075,,,,,,,126,FON-Annual Symposium 2020 (Lightning Event),,,95,
a1Z4W000029DFQdUAO,false,sneha test1's Group,19,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzVQAQ,false,false,,false,false,a1Y4W000002bRxxUAE,,,,false,,,,Invoice,,0034W00002AU8SCQA1,,16,0076,,,,,,,67,FON-Awards - Tables with Assigned Seating (Lightning Event),,,102,
a1Z4W000029DFQeUAO,false,test12 test123's Group,20,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzVQAQ,false,false,,false,false,a1Y4W000002bRxyUAE,,,,false,,,,Invoice,,0034W00002AU8U6QAL,,0,0078,,,,,,,67,FON-Annual Conference (Lightning Event),,,171,
a1Z4W000029DFQfUAO,false,Eva Foxworth's Group,21,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021fm0RQAQ,false,false,,false,false,a1Y4W000002bRxwUAE,,,,false,,,,Invoice,,0034W00002AU8TMQA1,,0,0082,,,,,,,72,FON-Annual Symposium 2020 (Lightning Event),,,298,
a1Z4W000029DFQgUAO,false,Maria Zuniga's Group,22,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzVQAQ,false,false,,false,false,a1Y4W000002bRxwUAE,,,,false,,,,Invoice,,0034W00002AU8ULQA1,,0,0083,,,,,,,67,FON-Annual Symposium 2020 (Lightning Event),,,225,
a1Z4W000029DFQhUAO,false,Jenifer Alonzo's Group,23,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxwUAE,,,,false,,,,Invoice,,0034W00002AU8SAQA1,,0,0084,,,,,,,,FON-Annual Symposium 2020 (Lightning Event),,,95,
a1Z4W000029DFQiUAO,false,Jenifer Alonzo's Group,24,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,,,,,false,,,,Invoice,,0034W00002AU8SAQA1,,1,0085,,,,,,,,,,,95,
a1Z4W000029DFQjUAO,false,Jim Nugget's Group,25,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxwUAE,,,,false,,,,Invoice,,0034W00002AU8RzQAL,,1,0086,,,,,,,,FON-Annual Symposium 2020 (Lightning Event),,,246,
a1Z4W000029DFQkUAO,false,Bob Kelley's Group,26,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,,,,,false,,,,Invoice,,0034W00002AU8T6QAL,,0,0087,,,,,,,,,,,38,
a1Z4W000029DFQlUAO,false,dasd fsda's Group,27,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzVQAQ,false,false,,false,false,a1Y4W000002bRxsUAE,,,,false,,,,Invoice,,0034W00002AU8UQQA1,,0,0088,,,,,,,67,FON-Annual Meeting (Community Event),,,273,
a1Z4W000029DFQmUAO,false,dasd fsda's Group,28,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzVQAQ,false,false,,false,false,a1Y4W000002bRxwUAE,,,,false,,,,Invoice,,0034W00002AU8USQA1,,0,0089,,,,,,,67,FON-Annual Symposium 2020 (Lightning Event),,,275,
a1Z4W000029DFQnUAO,false,Mila Kunis's Group,29,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxyUAE,,,,false,,,,Invoice,,,,0,0030,,,,,,,,FON-Annual Conference (Lightning Event),,,,
a1Z4W000029DFQoUAO,false,Dennis Brixton's Group,30,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxyUAE,,,,false,,,,Invoice,,0034W00002AU8UfQAL,,3,0016,,,,,,,,FON-Annual Conference (Lightning Event),,,301,
a1Z4W000029DFQpUAO,false,Dagmar Sousa's Group,31,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxyUAE,,,,false,,,,Invoice,,,,0,0017,,,,,,,,FON-Annual Conference (Lightning Event),,,,
a1Z4W000029DFQqUAO,false,Clifford Wellington's Group,32,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxyUAE,,,,false,,,,Invoice,,0034W00002AU8W3QAL,,0,0018,,,,,,,,FON-Annual Conference (Lightning Event),,,15,
a1Z4W000029DFQrUAO,false,LIsa Myers's Group,33,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxyUAE,,,,false,,,,Invoice,,0034W00002AU8W4QAL,,0,0019,,,,,,,,FON-Annual Conference (Lightning Event),,,16,
a1Z4W000029DFQsUAO,false,LIsa Myers's Group,34,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxyUAE,,,,false,,,,Invoice,,0034W00002AU8W4QAL,,0,0020,,,,,,,,FON-Annual Conference (Lightning Event),,,16,
a1Z4W000029DFQtUAO,false,Bob Kelley's Group,35,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxxUAE,,,,false,,,,Invoice,,0034W00002AU8T6QAL,,0,0021,,,,,,,,FON-Awards - Tables with Assigned Seating (Lightning Event),,,38,
a1Z4W000029DFQuUAO,false,Kevin Landsman's Group,36,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxyUAE,,,,false,,,,Invoice,,0034W00002AU8W6QAL,,0,0022,,,,,,,,FON-Annual Conference (Lightning Event),,,18,
a1Z4W000029DFQxUAO,false,Mac Anderson's Group,37,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxyUAE,,,,false,,,,Invoice,,0034W00002AU8T6QAL,,0,0026,,,,,,,,FON-Annual Conference (Lightning Event),,,38,
a1Z4W000029DFQyUAO,false,sdsd sdsd's Group,38,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxyUAE,,,,false,,,,Invoice,,,,0,0032,,,,,,,,FON-Annual Conference (Lightning Event),,,,
a1Z4W000029DFQzUAO,false,Diego Alzugaraytest2's Group,39,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxsUAE,,,,false,,,,Invoice,,,,0,0035,,,,,,,,FON-Annual Meeting (Community Event),,,,
a1Z4W000029DFR0UAO,false,Diego Alzugaraytest2's Group,40,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxsUAE,,,,false,,,,Invoice,,,,0,0036,,,,,,,,FON-Annual Meeting (Community Event),,,,
a1Z4W000029DFR1UAO,false,Diego Alzugaraytest2's Group,41,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,,false,false,,false,false,a1Y4W000002bRxsUAE,,,,false,,,,Invoice,,0034W00002AU8T6QAL,,1,0037,,,,,,,,FON-Annual Meeting (Community Event),,,38,
a1Z4W000029DFR2UAO,false,James Radcliff's Group,42,2020-08-28T02:16:22.000+0000,2020-09-24T07:28:41.000+0000,2020-09-24T07:28:41.000+0000,0014W000021flzVQAQ,false,false,,false,false,a1Y4W000002bRxsUAE,,,,false,,,,Invoice,,0034W00002AU8WkQAL,,1,0038,,,,,,,67,FON-Annual Meeting (Community Event),,,205,
